id_persona,id_hogar,es_trabajador,es_familia,dia_semana,dia_fin_semana,parentesco,n_menores_0_5,n_menores_6_11,n_menores_0_14,n_menores_12_17,n_menores,n_mayores,n_tiempo,n_trabajadores,n_profesionales,n_tercera_edad,hay_tercera_edad,n_personas,edad_promedio,tiene_hijos,en_pareja,vive_pareja,servicio_domestico,ayuda_cercanos,fuentes_externas,sexo,edad_anios,tramo_edad,nivel_escolaridad,estudia,trabaja,horas_trabajo_contratadas,horas_trabajo_habituales,dias_trabajo_semana,quintil,macrozona,region,prop_ing_hogar,cae,cise,ciuo_agrupada,t11_1_1,t11_1_2,t11_1_3,t11_1_4,t11_1_5,t11_1_6,t11_1_7,t11_1_8,t12_1_1,t12_1_2,t12_1_3,t12_1_4,t12_1_5,t13_1_1,t13_1_2,t14_1_1,t15_1_1,ing_ocuppal,ing_trab,ing_jub_aps,ing_g,ing_mon,ing_mon_pc,ing_gpp,ing_personal,ingreso_hogar,income_person_week,t_paid_work,t_job_search,t_domestic_work,t_care_work,t_unpaid_voluntary,t_education,t_leisure,t_personal_care,t_meals,t_sleep,t_commute1,Tw,Tf_social,Tf_hobbies,Tf_read,Tf_listen,Tf_watch,Tf_computer,Tc_meals,Tc_sleep,Tc_other,t_total,w
1,1,0,0,4,6,1,0,0,1,1,1,4,5,1,0,0,0,5,30.4,1,1,1,0,0,0,0,47,45-65,primaria,0,0,6,6,1,1,metropolitana,13,0.3191489361702128,Ocupada(o),1,5,4,4,4,4,3,3,4,3,1,3,3,3,3,4,4,3,0,37.5,37.5,0,0,117.5,23.5,0,37.5,117.5,23.5,6,0,11.96,83.43,2.76,0,28.37,7.69,10.04,17.75,0,6,3.43,0.39,7.32,1.79,15.25,0.2,10.04,17.75,105.84,168,6.25
2,1,0,0,4,6,2,0,0,1,1,1,4,5,1,0,0,0,5,30.4,1,1,1,0,0,0,1,44,25-44,primaria,0,0,0,0,0,1,metropolitana,13,0,Inactiva(o),0,7,4,4,4,4,85,4,4,4,2,85,4,4,85,4,4,2,9,0,0,0,0,0,0,0,0,117.5,23.5,0,0,22.87,72.55,0,0,22.46,1.63,4.79,43.7,0,0,8.52,1.53,1.53,1.95,7.32,1.62,4.79,43.7,97.05,168.00000000000003,NA
4,1,1,0,4,6,3,0,0,1,1,1,4,5,1,0,0,0,5,30.4,0,0,0,0,0,0,0,22,12-24,secundaria,1,1,48,8,6,1,metropolitana,13,0.6808510638297872,Ocupada(o),2,3,2,2,85,2,4,2,1,1,1,3,2,2,2,85,85,1,6,80,80,0,0,0,0,0,80,117.5,23.5,48,0,3.44,7.25,0,18.33,21.36,2.88,8.02,42.42999999999999,16.29,48,10.11,3.76,0,5.56,0.72,1.22,8.02,42.42999999999999,48.19,168,1.6666666666666667
5,1,0,0,4,6,3,0,0,1,1,1,4,5,1,0,0,0,5,30.4,0,0,0,0,0,0,0,13,12-24,ninguna,1,0,0,0,0,1,metropolitana,13,0,Menor de 15 años,0,7,4,85,85,3,85,3,3,3,1,85,3,3,85,85,85,3,0,0,0,0,0,0,0,0,0,117.5,23.5,0,0,4.16,24.52,0,27.04,44.31,3.13,5.69,56.900000000000006,2.25,0,3.95,0.55,0.01,4.43,18.7,16.67,5.69,56.900000000000006,61.1,168.00000000000003,NA
14,4,0,0,5,7,3,0,0,1,1,1,3,2,1,0,0,0,4,34,0,0,0,0,0,0,1,13,12-24,ninguna,1,0,0,0,0,2,norte,5,0,Menor de 15 años,0,7,2,85,85,4,85,5,4,5,4,85,4,4,85,85,85,3,0,0,0,0,0,0,0,0,0,132.5,33.125,0,0,10.1,0.01,0,0,66.5,16.6,12.46,62.32999999999999,0,0,38.91,9.88,0.47,8.94,3.08,5.21,12.46,62.32999999999999,26.71,168,NA
19,6,1,1,2,6,1,0,1,1,0,1,4,4,2,1,0,0,5,36.6,1,1,1,0,0,0,0,58,45-65,secundaria,0,1,45,9,5,4,centro,7,0.6153846153846154,Ocupada(o),2,5,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,0,200,200,0,0,325,65,0,200,325,65,45,0,4.84,3.82,0.29,0,25.57,1.05,12.4,63.86999999999999,11.16,45,17.1,0.58,0.43,0.15,6.96,0.35,12.4,63.86999999999999,21.17,168,4.444444444444445
20,6,0,0,2,6,2,0,1,1,0,1,4,4,2,1,0,0,5,36.6,1,1,1,0,0,0,1,59,45-65,secundaria,0,0,0,0,0,4,centro,7,0,Inactiva(o),0,7,4,4,4,3,85,4,4,4,4,85,4,4,85,4,4,3,0,0,0,0,0,0,0,0,0,325,65,0,0,28.49,4.05,0,0,61.08,1.94,12.58,59.86,0,0,24.69,0,1.54,1.94,29.03,3.88,12.58,59.86,34.48,168,NA
21,6,1,0,2,6,3,0,1,1,0,1,4,4,2,1,0,0,5,36.6,1,0,0,0,0,0,1,30,25-44,universitaria,0,1,45,9,5,4,centro,7,0.38461538461538464,Ocupada(o),3,1,4,85,4,4,4,4,4,4,4,4,4,4,4,85,85,3,0,125,125,0,0,0,0,0,125,325,65,45,0,6.41,5.88,0,0,30.31,1.96,10.85,59.09,8.5,45,20.36,0,0.43,2.08,7.37,0.07,10.85,59.09,22.75,167.99999999999997,2.7777777777777777
22,6,0,0,2,6,3,0,1,1,0,1,4,4,2,1,0,0,5,36.6,0,0,0,0,0,0,0,26,25-44,primaria,0,0,0,0,0,4,centro,7,0,Inactiva(o),0,7,4,85,85,4,85,4,4,4,4,85,4,4,85,85,85,3,0,0,0,0,0,0,0,0,0,325,65,0,0,2.48,0.58,0.03,0,75.54,2.29,11.47,75.60999999999999,0,0,41.73,0.3,3.08,1.21,28.76,0.47,11.47,75.60999999999999,5.38,168,NA
25,7,0,0,2,7,2,1,1,2,0,2,2,1,0,2,0,0,4,21,1,1,1,0,0,0,1,38,25-44,universitaria,0,0,0,0,0,1,sur,9,0,Inactiva(o),0,7,4,4,4,3,85,3,4,4,4,85,4,4,85,3,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,32.44,41.29,3.22,0,39.31,1.56,9.19,40.98999999999999,0,0,17.39,3.7,1.83,8.78,5.08,2.52,9.19,40.98999999999999,78.5,168,NA
41,11,0,0,4,6,2,1,1,2,0,2,2,2,1,0,0,0,4,14.75,1,1,1,0,1,1,1,30,25-44,secundaria,0,0,0,0,0,1,norte,3,0,Inactiva(o),0,7,1,3,1,5,85,1,1,5,5,85,4,4,85,5,5,3,0,0,0,0,0,0,0,0,0,50,12.5,0,0,7.79,66.87,0,0,36.38,5.24,15.5,36.21999999999999,0,0,3.63,0,0,1.19,22.75,8.81,15.5,36.21999999999999,79.91,168,NA
45,12,0,0,4,6,2,0,0,0,0,0,2,2,1,0,2,0,2,62.5,1,1,1,0,0,0,1,62,45-65,ninguna,0,0,0,0,0,1,norte,3,0,Inactiva(o),0,7,1,1,1,85,85,1,1,3,5,85,3,3,85,1,85,2,2,0,0,0,0,0,0,0,0,50,25,0,0,46.2,1.51,32.2,0,35.77,2.28,9.3,40.73999999999998,0,0,4.65,0,2.77,17.08,11.27,0,9.3,40.73999999999998,82.18,168,NA
46,13,1,1,5,7,1,1,0,1,0,1,3,2,2,0,0,0,4,29.25,1,1,1,0,0,0,0,48,45-65,primaria,0,1,65,13,5,2,metropolitana,13,0.06976744186046512,Ocupada(o),1,3,5,5,5,2,4,4,4,5,4,5,5,5,5,5,5,3,0,7.5,7.5,0,1.5,109,27.25,0.10465116279069767,7.6,109,26.901162790697676,65,0,11.51,6.69,0,0,25.01,2.67,9.34,43.78000000000001,4,65,11.55,0.92,1.66,4.47,4.75,1.66,9.34,43.78000000000001,24.87,168.00000000000003,0.11538461538461539
54,15,1,1,1,7,1,0,0,0,0,0,2,1,1,1,0,0,2,52.5,1,1,1,0,0,0,1,52,45-65,secundaria,1,1,48,8,6,5,norte,1,0.16666666666666666,Ocupada(o),2,2,4,3,4,2,4,5,4,4,4,4,4,3,4,4,85,2,6,75,75,0,0,450,225,0,75,450,225,48,0,27.38,0.91,0,12.81,28.71,2.23,9.42,37.16,1.38,48,10.93,4.11,3.75,5.13,4.44,0.35,9.42,37.16,44.72,168,1.5625
60,17,1,0,5,7,1,0,0,0,0,0,1,1,1,1,0,0,1,32,0,0,0,0,0,0,1,32,25-44,universitaria,0,1,45,9,5,5,metropolitana,13,1,Ocupada(o),2,2,4,85,85,5,4,4,4,4,4,4,4,4,4,85,85,2,1,170,170,0,0,170,170,0,170,170,170,45,0,12.59,0,0.08,0,60.83,1.62,11.23,34.47999999999999,2.17,45,12.68,1.41,6.52,4.57,10.38,25.27,11.23,34.47999999999999,16.46,168,3.7777777777777777
63,18,0,0,3,7,2,0,0,0,0,0,6,4,2,0,2,0,7,51.714285714285715,1,1,1,0,0,0,1,66,66+,primaria,0,0,0,0,0,3,norte,4,0.06204756980351603,Inactiva(o),0,7,3,4,4,85,85,4,4,4,4,85,4,4,85,4,85,2,2,0,0,22.5,0,0,0,0,22.5,362.625,51.80357142857143,0,0,31.41,2.29,0.16,0,62.86,2.92,7.79,60.56999999999999,0,0,6.62,0.51,0.09,37.46,18.18,0,7.79,60.56999999999999,36.79,168,NA
74,21,1,1,1,6,1,0,1,2,2,3,2,4,1,0,0,0,5,23.8,1,1,1,0,0,0,0,40,25-44,secundaria,0,1,45,9,5,2,norte,2,1,Ocupada(o),2,1,4,5,5,4,5,4,5,4,4,4,4,3,2,4,4,2,1,200,200,0,0,200,40,0,200,200,40,45,0,3.91,17.92,0,0,46.56,1.98,8.95,41.21999999999999,2.46,45,5.52,3.7,2.34,5.67,7.06,22.26,8.95,41.21999999999999,26.28,167.99999999999997,4.444444444444445
75,21,0,0,1,6,2,0,1,2,2,3,2,4,1,0,0,0,5,23.8,1,1,1,0,0,0,1,37,25-44,secundaria,0,0,0,0,0,2,norte,2,0,Inactiva(o),0,7,5,5,5,4,85,5,3,3,2,85,5,5,4,4,5,2,2,0,0,0,0,0,0,0,0,200,40,0,0,27.88,22,0,0,72.29,1.77,8.06,36,0,0,10.6,7.08,8.76,7.37,29.49,8.99,8.06,36,51.64,168,NA
76,21,0,0,1,6,3,0,1,2,2,3,2,4,1,0,0,0,5,23.8,0,0,0,0,0,0,1,17,12-24,primaria,1,0,0,0,0,2,norte,2,0,Inactiva(o),0,7,5,85,85,5,85,4,5,4,5,85,4,4,85,85,85,2,6,0,0,0,0,0,0,0,0,200,40,0,0,6.6,15.79,0,43.26,36.51,2.32,9.82,48.89,4.81,0,6.8,10.61,1,8.8,2.99,6.3,9.82,48.89,72.78,168,NA
77,21,0,0,1,6,3,0,1,2,2,3,2,4,1,0,0,0,5,23.8,0,0,0,0,0,0,0,14,12-24,ninguna,1,0,0,0,0,2,norte,2,0,Menor de 15 años,0,7,4,85,85,4,85,4,5,5,4,85,4,4,5,85,85,2,6,0,0,0,0,0,0,0,0,200,40,0,0,3.97,22.3,0,42.06,40.12,1.52,5.55,47.80999999999999,4.67,0,13.24,14.02,0,1.95,5.26,5.65,5.55,47.80999999999999,74.53,168.00000000000003,NA
80,22,0,0,5,7,3,0,0,0,1,1,2,3,1,1,0,0,3,30.333333333333332,0,0,0,1,0,1,1,17,12-24,primaria,1,0,0,0,0,5,sur,9,0,Desocupada(o),0,7,4,85,85,2,85,4,4,4,5,85,4,4,85,85,85,1,6,0,0,0,0,0,0,0,0,500,141.66666666666666,0,0,21.77,5.15,0,0.47,75.47,5.08,3.04,57.02,0,0,16.75,5.51,0.08,6.84,43.42,2.86,3.04,57.02,32.47,168,NA
82,23,1,0,2,7,1,0,0,0,0,0,1,1,1,0,0,0,1,55,1,0,0,0,0,0,1,55,45-65,secundaria,0,1,45,9,5,5,norte,4,1,Ocupada(o),2,3,4,85,4,2,4,2,4,4,2,4,4,4,4,85,85,3,0,74.5,87,0,25.75,112.75,112.75,25.75,112.75,112.75,112.75,45,0,18.91,0.29,0,0,39.54,3.93,7.3,50.46,2.57,45,13.21,0,1.35,5.84,19.04,0.09,7.3,50.46,25.7,168,1.9333333333333333
92,27,1,0,1,6,1,0,0,0,0,0,3,2,2,3,1,0,3,39.666666666666664,1,0,0,1,0,1,1,63,45-65,universitaria,0,1,60,10,6,5,metropolitana,13,0.6968641114982579,Ocupada(o),2,1,3,85,2,85,4,3,2,1,5,5,2,5,3,85,85,2,5,500,1000,0,0,1435,478.3333333333333,0,1000,1435,478.3333333333333,60,0,5.74,0.25,2.71,0,34.08,4.58,10.76,39.82000000000001,10.06,60,14.45,1.92,0.45,11.11,5.69,0.45,10.76,39.82000000000001,23.34,168,16.666666666666668
97,29,0,0,2,7,2,0,0,1,2,2,2,2,0,2,0,0,4,32,1,1,1,0,0,0,1,46,45-65,universitaria,0,0,0,0,0,5,centro,8,0,Inactiva(o),0,7,4,4,4,4,85,3,3,4,5,85,4,4,85,4,4,2,2,0,0,0,0,0,0,0,0,450,112.5,0,0,27.66,17.58,4.28,0,50.12,4.23,7.61,56.290000000000006,0.23,0,26.29,0.23,7,0.32,13.07,3.22,7.61,56.290000000000006,53.98,168,NA
98,29,0,0,2,7,3,0,0,1,2,2,2,2,0,2,0,0,4,32,0,0,0,0,0,0,0,16,12-24,primaria,1,0,0,0,0,5,centro,8,0,Inactiva(o),0,7,3,5,85,4,85,4,3,1,4,85,2,2,85,85,85,2,6,0,0,0,0,0,0,0,0,450,112.5,0,0,0.73,1.61,0.08,48.04,61.92,2.07,5.25,47.36999999999999,0.93,0,30.49,19.08,0.58,1.33,6.69,3.74,5.25,47.36999999999999,53.46,168,NA
102,30,1,0,3,7,3,0,0,1,1,1,3,4,2,0,0,0,4,29.5,0,0,0,0,0,0,0,18,12-24,secundaria,0,1,35,7,5,2,centro,6,0.5,Ocupada(o),2,3,4,85,85,4,4,4,4,4,3,3,4,4,4,85,85,2,1,60,60,0,0,0,0,12.5,72.5,145,33.125,35,0,2.06,4.73,1.37,0.02,59.3,3.56,6.96,49.96,5.04,35,11.68,8.14,0.06,34.91,2.51,2,6.96,49.96,16.78,168,1.7142857142857142
106,32,1,1,4,7,1,1,0,1,0,1,2,2,2,0,0,0,3,19,1,1,1,0,0,0,0,28,25-44,secundaria,0,1,60,10,6,3,norte,5,0.7333333333333333,Ocupada(o),2,5,2,2,2,2,1,1,2,3,3,4,2,2,3,1,4,2,1,137.5,137.5,0,0,187.5,62.5,0,137.5,187.5,62.5,60,0,5.16,10.11,0.02,0,27.01,4.07,6.13,47.65,7.85,60,13.2,0.02,0.14,5.07,8.58,0,6.13,47.65,27.21,168,2.2916666666666665
