id_persona,id_hogar,es_trabajador,es_familia,dia_semana,dia_fin_semana,parentesco,n_menores6,n_menores12,n_men15,n_menores18,n_menores,n_mayores,n_tiempo,n_trabajadores,n_profesionales,hay_tercera,n_personas,edad_promedio,tiene_hijos,en_pareja,vive_pareja,servicio_domestico,ayuda_cercanos,fuentes_externas,sexo,edad_años,tramo_edad,nivel_escolaridad,estudia,trabaja,horas_trabajo,quintil,macrozona,region,prop_hogar,cae,cise,ciuo_agrupada,t11_1_1,t11_1_2,t11_1_3,t11_1_4,t11_1_5,t11_1_6,t11_1_7,t11_1_8,t12_1_1,t12_1_2,t12_1_3,t12_1_4,t12_1_5,t13_1_1,t13_1_2,t14_1_1,t15_1_1,ing_ocuppal,ing_trab,ing_jub_aps,ing_g,ing_mon,ing_mon_pc,ing_gpp,ing_personal,ingreso_hogar,income_person_week,t_to,t_to_js,t_tcnr_ce,t_tcnr_re,t_tcnr_oac,t_tdnr_psc,t_tdnr_lv,t_tdnr_lrc,t_tdnr_mrm,t_tdnr_admnhog,t_tdnr_comphog,t_tdnr_cmp,t_tvaoh_tv,t_tvaoh_oh,t_cpaf_cp,t_cpag_comer,t_cpag_dormir,t_ed,t_vsyo_csar,t_vsyo_aa,t_mcm,t_tt1,t_total,w
1,1,0,0,4,6,1,0,0,1,1,1,4,5,1,0,0,5,30.4,1,1,1,0,0,0,0,47,45-65,primaria,0,0,6,1,metropolitana,13,0.3191489361702128,Ocupada(o),1,5,4,4,4,4,3,3,4,3,1,3,3,3,3,4,4,3,0,37.5,37.5,0,0,117.5,23.5,0,37.5,117.5,23.5,6,0,8.11,0,75.32,0.43,7.71,0,0,0,0.07,3.75,0,2.76,7.69,10.04,17.75,0,3.43,0.39,24.55,0,168,6.25
2,1,0,0,4,6,2,0,0,1,1,1,4,5,1,0,0,5,30.4,1,1,1,0,0,0,1,44,25-44,primaria,0,0,0,1,metropolitana,13,0,Inactiva(o),0,7,4,4,4,4,85,4,4,4,2,85,4,4,85,4,4,2,9,0,0,0,0,0,0,0,0,117.5,23.5,0,0,4.17,4.58,63.8,9.31,9.44,1.31,0,0,2.16,0.66,0,0,1.63,4.79,43.69000000000001,0,8.52,1.53,12.41,0,168.00000000000003,NA
4,1,1,0,4,6,3,0,0,1,1,1,4,5,1,0,0,5,30.4,0,0,0,0,0,0,0,22,12-24,secundaria,1,1,48,1,metropolitana,13,0.6808510638297872,Ocupada(o),2,3,2,2,85,2,4,2,1,1,1,3,2,2,2,85,85,1,6,80,80,0,0,0,0,0,80,117.5,23.5,48,0,2.44,0,4.81,0.13,1.1,0,0,0,0.29,1.93,0,0,2.88,8.03,42.41000000000001,18.33,10.11,3.76,7.49,16.29,168,1.6666666666666667
5,1,0,0,4,6,3,0,0,1,1,1,4,5,1,0,0,5,30.4,0,0,0,0,0,0,0,13,12-24,ninguna,1,0,0,1,metropolitana,13,0,Menor de 15 años,0,7,4,85,85,3,85,3,3,3,1,85,3,3,85,85,85,3,0,0,0,0,0,0,0,0,0,117.5,23.5,0,0,0.4,0,24.11,0,3.91,0,0,0,0.08,0.15,0,0,3.13,5.69,56.91999999999999,27.04,3.96,0.55,39.81,2.25,168,NA
14,4,0,0,5,7,3,0,0,1,1,1,3,2,1,0,0,4,34,0,0,0,0,0,0,1,13,12-24,ninguna,1,0,0,2,norte,5,0,Menor de 15 años,0,7,2,85,85,4,85,5,4,5,4,85,4,4,85,85,85,3,0,0,0,0,0,0,0,0,0,132.5,33.125,0,0,0,0,0,0.01,9.1,0.49,0,0,0,0.5,0,0,16.6,12.46,62.34000000000001,0,38.91,9.88,17.71,0,167.99999999999997,NA
19,6,1,1,2,6,1,0,1,1,0,1,4,4,2,1,0,5,36.6,1,1,1,0,0,0,0,58,45-65,secundaria,0,1,45,4,centro,7,0.6153846153846154,Ocupada(o),2,5,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,0,200,200,0,0,325,65,0,200,325,65,45,0,0.71,0.49,2.62,0.45,0.51,0.06,2.24,0,0.67,0.92,0,0.29,1.05,12.4,63.86,0,17.1,0.58,7.89,11.16,168,4.444444444444445
20,6,0,0,2,6,2,0,1,1,0,1,4,4,2,1,0,5,36.6,1,1,1,0,0,0,1,59,45-65,secundaria,0,0,0,4,centro,7,0,Inactiva(o),0,7,4,4,4,3,85,4,4,4,4,85,4,4,85,4,4,3,0,0,0,0,0,0,0,0,0,325,65,0,0,0,2.42,1.63,15.84,10.07,0.16,0,0,0.81,1.61,0,0,1.94,12.58,59.86999999999999,0,24.69,0,36.38,0,168,NA
21,6,1,0,2,6,3,0,1,1,0,1,4,4,2,1,0,5,36.6,1,0,0,0,0,0,1,30,25-44,universitaria,0,1,45,4,centro,7,0.38461538461538464,Ocupada(o),3,1,4,85,4,4,4,4,4,4,4,4,4,4,4,85,85,3,0,125,125,0,0,0,0,0,125,325,65,45,0,3.6,2.13,0.16,1.36,2.56,0.63,0.86,0,0.86,0.14,0,0,1.96,10.85,59.08000000000001,0,20.36,0,9.95,8.5,167.99999999999997,2.7777777777777777
22,6,0,0,2,6,3,0,1,1,0,1,4,4,2,1,0,5,36.6,0,0,0,0,0,0,0,26,25-44,primaria,0,0,0,4,centro,7,0,Inactiva(o),0,7,4,85,85,4,85,4,4,4,4,85,4,4,85,85,85,3,0,0,0,0,0,0,0,0,0,325,65,0,0,0.32,0,0.26,0.05,0.01,0,0,0,0.95,1.49,0,0.03,2.29,11.47,75.59,0,41.72,0.3,33.52,0,168,NA
25,7,0,0,2,7,2,1,1,2,0,2,2,1,0,2,0,4,21,1,1,1,0,0,0,1,38,25-44,universitaria,0,0,0,1,sur,9,0,Inactiva(o),0,7,4,4,4,3,85,3,4,4,4,85,4,4,85,3,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,18.89,17.29,5.11,11.93,5.61,8.03,0,0.26,2.43,4.17,3.16,0.06,1.56,9.19,41.00000000000001,0,17.39,3.7,18.22,0,168,NA
