id_household,id_person,is_worker,is_family,weekday,weekend_day,relationship_to_head,n_children_0_4,n_children_5_14,n_children_0_14,n_underage,n_persons_15_65,n_adults,n_time_reporters,n_workers,n_professionals,n_elderly,has_elderly,household_size,mean_age,has_children,in_couple,lives_with_partner,domestic_service,help_from_relatives,external_support,female,age,age_bracket,education_level,in_education,employed,contracted_hours,usual_hours,work_days_per_week,quintile,macrozone,region,income_share,employment_status,cise,occupation_group,t11_1_1,t11_1_2,t11_1_3,t11_1_4,t11_1_5,t11_1_6,t11_1_7,t11_1_8,t12_1_1,t12_1_2,t12_1_3,t12_1_4,t12_1_5,t13_1_1,t13_1_2,t14_1_1,t15_1_1,inc_main_job,inc_labor,inc_pension,inc_group,ing_mon,ing_mon_pc,inc_group_personal,inc_personal,household_income,inc_person_week,I,t_paid_work,t_job_search,t_care_essential,t_care_education_related,t_care_other,t_domestic_meals,t_domestic_cleaning,t_domestic_laundry,t_domestic_maintenance,t_domestic_admin,t_domestic_shopping,t_domestic_pets,t_voluntary_community,t_voluntary_households,t_personal_care,t_meals,t_sleep,t_education,t_leisure_social,t_leisure_hobbies,t_media_reading,t_media_video,t_media_audio,t_media_computer,t_commute1,t_total,wage,savings,food,clothing,utilities,household_goods,health,transportation,communications,recreation,education_exp,restaurants,total_expenses
1,1,0,0,4,6,1,0,1,1,1,4,4,5,1,0,0,0,5,30.4,1,1,1,0,0,0,0,47,45-65,primaria,0,0,6,6,1,1,metropolitana,13,0.3191489361702128,Ocupada(o),1,5,4,4,4,4,3,3,4,3,1,3,3,3,3,4,4,3,0,37.5,37.5,0,0,117.5,23.5,0,37.5,117.5,23.5,0,6,0,8.11,0,75.32,0.43,7.71,0,0,0,0.07,3.75,0,2.76,7.69,10.04,17.74000000000001,0,3.43,0.39,7.32,15.25,1.79,0.2,0,168,6.25,-8.703534331690937,20.11,1.68,7.62,1.13,2.58,4.31,2.84,1.55,2.66,1.72,46.20353433169094
1,2,0,0,4,6,2,0,1,1,1,4,4,5,1,0,0,0,5,30.4,1,1,1,0,0,0,1,44,25-44,primaria,0,0,0,0,0,1,metropolitana,13,0,Inactiva(o),0,7,4,4,4,4,85,4,4,4,2,85,4,4,85,4,4,2,9,0,0,0,0,0,0,0,0,117.5,23.5,0,0,0,4.17,4.58,63.8,9.31,9.44,1.31,0,0,2.16,0.66,0,0,1.63,4.79,43.67999999999999,0,8.52,1.53,1.53,7.32,1.95,1.62,0,168,NA,-0,0,0,0,0,0,0,0,0,0,0,0
1,4,1,0,4,6,3,0,1,1,1,4,4,5,1,0,0,0,5,30.4,0,0,0,0,0,0,0,22,12-24,secundaria,1,1,48,8,6,1,metropolitana,13,0.6808510638297872,Ocupada(o),2,3,2,2,85,2,4,2,1,1,1,3,2,2,2,85,85,1,6,80,80,0,0,0,0,0,80,117.5,23.5,0,48,0,2.44,0,4.81,0.13,1.1,0,0,0,0.29,1.93,0,0,2.88,8.02,42.41000000000001,18.33,10.11,3.76,0,0.72,5.56,1.22,16.29,168,1.6666666666666667,-18.56753990760733,42.91,3.57,16.26,2.42,5.5,9.19,6.07,3.31,5.67,3.67,98.56753990760733
1,5,0,0,4,6,3,0,1,1,1,4,4,5,1,0,0,0,5,30.4,0,0,0,0,0,0,0,13,12-24,ninguna,1,0,0,0,0,1,metropolitana,13,0,Menor de 15 años,0,7,4,85,85,3,85,3,3,3,1,85,3,3,85,85,85,3,0,0,0,0,0,0,0,0,0,117.5,23.5,0,0,0,0.4,0,24.11,0,3.91,0,0,0,0.08,0.15,0,0,3.13,5.69,56.93000000000001,27.04,3.95,0.55,0.01,18.7,4.43,16.67,2.25,168,NA,-0,0,0,0,0,0,0,0,0,0,0,0
4,14,0,0,5,7,3,0,1,1,2,3,3,2,1,0,0,0,5,34,0,0,0,0,0,0,1,13,12-24,ninguna,1,0,0,0,0,2,norte,5,0,Menor de 15 años,0,7,2,85,85,4,85,5,4,5,4,85,4,4,85,85,85,3,0,0,0,0,0,0,0,0,0,132.5,33.125,0,0,0,0,0,0,0.01,9.1,0.49,0,0,0,0.5,0,0,16.6,12.46,62.35,0,38.91,9.88,0.47,3.08,8.94,5.21,0,168,NA,-0,0,0,0,0,0,0,0,0,0,0,0
6,19,1,1,2,6,1,0,1,1,1,4,4,4,2,1,0,0,5,36.6,1,1,1,0,0,0,0,58,45-65,secundaria,0,1,45,9,5,4,centro,7,0.6153846153846154,Ocupada(o),2,5,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,0,200,200,0,0,325,65,0,200,325,65,0,45,0,0.71,0.49,2.62,0.45,0.51,0.06,2.24,0,0.67,0.92,0,0.29,1.05,12.4,63.86,0,17.1,0.58,0.43,6.96,0.15,0.35,11.16,168,4.444444444444445,-6.134431461113126,50.03,8.98,32.11,9.88,19.89,33.23,16.09,10.72,13.39,11.82,206.13443146111314
6,20,0,0,2,6,2,0,1,1,1,4,4,4,2,1,0,0,5,36.6,1,1,1,0,0,0,1,59,45-65,secundaria,0,0,0,0,0,4,centro,7,0,Inactiva(o),0,7,4,4,4,3,85,4,4,4,4,85,4,4,85,4,4,3,0,0,0,0,0,0,0,0,0,325,65,0,0,0,0,2.42,1.63,15.84,10.07,0.16,0,0,0.81,1.61,0,0,1.94,12.58,59.86,0,24.69,0,1.54,29.03,1.94,3.88,0,168,NA,-0,0,0,0,0,0,0,0,0,0,0,0
6,21,1,0,2,6,3,0,1,1,1,4,4,4,2,1,0,0,5,36.6,1,0,0,0,0,0,1,30,25-44,universitaria,0,1,45,9,5,4,centro,7,0.38461538461538464,Ocupada(o),3,1,4,85,4,4,4,4,4,4,4,4,4,4,4,85,85,3,0,125,125,0,0,0,0,0,125,325,65,0,45,0,3.6,2.13,0.16,1.36,2.56,0.63,0.86,0,0.86,0.14,0,0,1.96,10.85,59.08000000000001,0,20.36,0,0.43,7.37,2.08,0.07,8.5,167.99999999999997,2.7777777777777777,-3.8340196631957033,31.27,5.61,20.07,6.17,12.43,20.77,10.06,6.7,8.37,7.39,128.8340196631957
6,22,0,0,2,6,3,0,1,1,1,4,4,4,2,1,0,0,5,36.6,0,0,0,0,0,0,0,26,25-44,primaria,0,0,0,0,0,4,centro,7,0,Inactiva(o),0,7,4,85,85,4,85,4,4,4,4,85,4,4,85,85,85,3,0,0,0,0,0,0,0,0,0,325,65,0,0,0,0.32,0,0.26,0.04,0.01,0,0,0,0.95,1.49,0,0.03,2.29,11.47,75.59,0,41.73,0.3,3.08,28.76,1.21,0.47,0,168,NA,-0,0,0,0,0,0,0,0,0,0,0,0
7,25,0,0,2,7,2,1,1,2,2,2,2,1,0,2,0,0,4,21,1,1,1,0,0,0,1,38,25-44,universitaria,0,0,0,0,0,1,sur,9,0,Inactiva(o),0,7,4,4,4,3,85,3,4,4,4,85,4,4,85,3,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,18.89,17.29,5.11,11.93,5.61,8.03,0,0.26,2.43,4.17,3.16,0.06,1.56,9.19,41.01,0,17.39,3.7,1.83,5.08,8.78,2.52,0,168,NA,-0,0,0,0,0,0,0,0,0,0,0,0
