id_hogar,id_persona,es_trabajador,es_familia,dia_semana,dia_fin_semana,parentesco,n_menores_0_4,n_menores_5_14,n_nna,n_menores_18,n_personas_15_65,n_mayores,n_tiempo,n_trabajadores,n_profesionales,n_tercera_edad,hay_tercera_edad,n_personas,edad_promedio,tiene_hijos,en_pareja,vive_pareja,servicio_domestico,ayuda_cercanos,fuentes_externas,sexo,edad_anios,tramo_edad,nivel_escolaridad,estudia,trabaja,horas_trabajo_contratadas,horas_trabajo_habituales,dias_trabajo_semana,quintil,macrozona,region,prop_ing_hogar,cae,cise,ciuo_agrupada,t11_1_1,t11_1_2,t11_1_3,t11_1_4,t11_1_5,t11_1_6,t11_1_7,t11_1_8,t12_1_1,t12_1_2,t12_1_3,t12_1_4,t12_1_5,t13_1_1,t13_1_2,t14_1_1,t15_1_1,ing_ocuppal,ing_trab,ing_jub_aps,ing_g,ing_mon,ing_mon_pc,ing_gpp,ing_personal,ingreso_hogar,income_person_week,t_paid_work,t_job_search,t_domestic_work,t_care_work,t_unpaid_voluntary,t_education,t_leisure,t_personal_care,t_meals,t_sleep,t_commute1,Tw,Tf_social,Tf_hobbies,Tf_read,Tf_listen,Tf_watch,Tf_computer,Tc_meals,Tc_sleep,Tc_other,t_total,w,savings,total_expenses,Ef_food,Ef_recreation,Ef_restaurants,Ef_communications,Ef_clothing,Ec_cuentas,Ec_hogar,Ec_salud,Ec_transporte,Ec_educacion
1,1,0,0,4,6,1,0,1,1,1,4,4,5,1,0,0,0,5,30.4,1,1,1,0,0,0,0,47,45-65,primaria,0,0,6,6,1,1,metropolitana,13,0.3191489361702128,Ocupada(o),1,5,4,4,4,4,3,3,4,3,1,3,3,3,3,4,4,3,0,37.5,37.5,0,0,117.5,23.5,0,37.5,117.5,23.5,6,0,12.37,82.69,9.7,0,22.6,7.69,10.52,16.43,0,6,0,0.97,7.21,0.49,13.93,0,10.52,16.43,112.46,168.00000000000003,6.25,-8.703534331689472,46.20353433168947,20.11,1.55,1.72,2.84,1.68,7.62,1.13,2.58,4.31,2.66
1,2,0,0,4,6,2,0,1,1,1,4,4,5,1,0,0,0,5,30.4,1,1,1,0,0,0,1,44,25-44,primaria,0,0,0,0,0,1,metropolitana,13,0,Inactiva(o),0,7,4,4,4,4,85,4,4,4,2,85,4,4,85,4,4,2,9,0,0,0,0,0,0,0,0,117.5,23.5,0,0,25.5,74.58,0.42,0,21.54,1.37,5.79,38.79999999999999,0,0,7.01,1.64,1.66,2.85,8.28,0.11,5.79,38.79999999999999,101.88,168,NA,-0,0,0,0,0,0,0,0,0,0,0,0
1,4,1,0,4,6,3,0,1,1,1,4,4,5,1,0,0,0,5,30.4,0,0,0,0,0,0,0,22,12-24,secundaria,1,1,48,8,6,1,metropolitana,13,0.6808510638297872,Ocupada(o),2,3,2,2,85,2,4,2,1,1,1,3,2,2,2,85,85,1,6,80,80,0,0,0,0,0,80,117.5,23.5,48,0,1.39,5.53,0,20.36,20.27,3.04,8.68,42.42999999999999,18.3,48,11.66,2.27,0.04,4.57,1.34,0.39,8.68,42.42999999999999,48.63,168,1.6666666666666667,-18.567539907604207,98.56753990760421,42.91,3.31,3.67,6.07,3.57,16.26,2.42,5.5,9.19,5.67
1,5,0,0,4,6,3,0,1,1,1,4,4,5,1,0,0,0,5,30.4,0,0,0,0,0,0,0,13,12-24,ninguna,1,0,0,0,0,1,metropolitana,13,0,Menor de 15 años,0,7,4,85,85,3,85,3,3,3,1,85,3,3,85,85,85,3,0,0,0,0,0,0,0,0,0,117.5,23.5,0,0,4.24,24.58,0,26.98,44.54,3.16,5.79,56.46000000000001,2.25,0,4.38,0.52,0.05,4.08,18.88,16.63,5.79,56.46000000000001,61.2,168,NA,-0,0,0,0,0,0,0,0,0,0,0,0
4,14,0,0,5,7,3,0,1,1,2,3,3,2,1,0,0,0,5,34,0,0,0,0,0,0,1,13,12-24,ninguna,1,0,0,0,0,2,norte,5,0,Menor de 15 años,0,7,2,85,85,4,85,5,4,5,4,85,4,4,85,85,85,3,0,0,0,0,0,0,0,0,0,132.5,33.125,0,0,10.69,0,0,0,64.44,16.88,13.16,62.83,0,0,35.97,11.29,0,7.96,4.03,5.2,13.16,62.83,27.57,168,NA,-0,0,0,0,0,0,0,0,0,0,0,0
6,19,1,1,2,6,1,0,1,1,1,4,4,4,2,1,0,0,5,36.6,1,1,1,0,0,0,0,58,45-65,secundaria,0,1,45,9,5,4,centro,7,0.6153846153846154,Ocupada(o),2,5,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,0,200,200,0,0,325,65,0,200,325,65,45,0,8.47,2.58,0.83,0,23.26,0.98,12.04,63.88000000000001,10.96,45,15.87,0,0.16,0.66,6.56,0,12.04,63.88000000000001,23.84,167.99999999999997,4.444444444444445,-6.1344314611106245,206.13443146111064,50.03,10.72,11.82,16.09,8.98,32.11,9.88,19.89,33.23,13.39
6,20,0,0,2,6,2,0,1,1,1,4,4,4,2,1,0,0,5,36.6,1,1,1,0,0,0,1,59,45-65,secundaria,0,0,0,0,0,4,centro,7,0,Inactiva(o),0,7,4,4,4,3,85,4,4,4,4,85,4,4,85,4,4,3,0,0,0,0,0,0,0,0,0,325,65,0,0,28.49,4.05,0,0,61.08,1.94,12.58,59.86,0,0,24.69,0,1.54,1.94,29.03,3.88,12.58,59.86,34.48,168,NA,-0,0,0,0,0,0,0,0,0,0,0,0
6,21,1,0,2,6,3,0,1,1,1,4,4,4,2,1,0,0,5,36.6,1,0,0,0,0,0,1,30,25-44,universitaria,0,1,45,9,5,4,centro,7,0.38461538461538464,Ocupada(o),3,1,4,85,4,4,4,4,4,4,4,4,4,4,4,85,85,3,0,125,125,0,0,0,0,0,125,325,65,45,0,7.13,3.69,0.4,0,34.65,1.83,10.01,56.64000000000001,8.65,45,24.28,0,0.44,2.49,7.08,0.35,10.01,56.64000000000001,21.7,167.99999999999997,2.7777777777777777,-3.83401966319414,128.83401966319414,31.27,6.7,7.39,10.06,5.61,20.07,6.17,12.43,20.77,8.37
6,22,0,0,2,6,3,0,1,1,1,4,4,4,2,1,0,0,5,36.6,0,0,0,0,0,0,0,26,25-44,primaria,0,0,0,0,0,4,centro,7,0,Inactiva(o),0,7,4,85,85,4,85,4,4,4,4,85,4,4,85,85,85,3,0,0,0,0,0,0,0,0,0,325,65,0,0,4.89,4.9,1.87,0,67.92,2.26,12.56,73.6,0,0,31.8,2.8,3.39,0.93,28.99,0,12.56,73.6,13.92,168,NA,-0,0,0,0,0,0,0,0,0,0,0,0
7,25,0,0,2,7,2,1,1,2,2,2,2,1,0,2,0,0,4,21,1,1,1,0,0,0,1,38,25-44,universitaria,0,0,0,0,0,1,sur,9,0,Inactiva(o),0,7,4,4,4,3,85,3,4,4,4,85,4,4,85,3,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,31.24,41.64,3.11,0,40.18,1.65,8.82,41.36,0,0,16.89,3.49,1.93,8.67,6.92,2.29,8.82,41.36,77.64,168,NA,-0,0,0,0,0,0,0,0,0,0,0,0
