"","FOLIO","id_hogar","g.alimentos","g.vestimenta","g.cuentas","g.hogar","g.salud","g.transporte","g.comunicaciones","g.recreacion","g.educacion","g.restaurantes","total_expenses","savings","n_personas","macrozona","quintil","n_menores_0_4","n_menores_5_14","n_trabajadores","edad_promedio","n_profesionales","income_person_week","ingreso_hogar","n_personas_cut","n_menores_0_4_cut","n_menores_5_14_cut","n_trabajadores_cut","n_profesionales_cut"
"1","00001-1",1,47.8020786484449,0,72.8614839742896,2.05299731563578,9.7762460233298,12.1951219512195,0,18.5192114487693,0,22.3062000496358,185.513339411325,-27.4645589235198,4,"metropolitana",2,1,0,1,28.25,1,39.5121951219512,158.048780487805,4,1,0,1,1
"2","00002-1",2,6.79853658536585,5.19717346706177,57.3456910370617,0,8.80986095281514,1.65853658536585,11.4390243902439,4.87804878048781,0,1.85365853658537,97.9805303349874,50.0829859251752,1,"regiones",2,0,0,1,34,1,148.063516260163,148.063516260163,1,0,0,1,1
"3","00003-1",3,79.0471646341463,21.3779269713934,93.7370395838947,1.75083841463415,42.9578578002761,46.4534046520986,18.4618039576622,15.6771663538401,9.74308943089431,9.30412591308654,338.510417711926,-237.238872996479,5,"metropolitana",1,1,1,1,30,0,20.2543089430894,101.271544715447,5,1,1,1,0
"4","00004-1",4,31.6603259612293,0,7.25602181487653,2.16747969464558,0,12.6016258574695,0,0,0,0,53.6854533282209,29.6247905742181,4,"metropolitana",1,0,0,0,41.75,0,20.8275609756098,83.310243902439,4,0,0,0,0
"5","00005-1",5,95.8748676664003,12.9938696618932,137.937450782174,26.8634605580815,10.2454352872681,50.5076884458687,42.4081670912186,34.1749594633699,11.4830353436546,36.2765334703248,458.765467770254,46.5389224736485,4,"regiones",5,0,1,2,24.25,1,126.326097560976,505.304390243903,4,0,1,2,1
"6","00006-1",6,30.1966463414634,0,18.150406504065,0,0,37.7103658536585,0,0,0.957317073170732,0,87.0147357723577,47.7169715447154,6,"regiones",2,0,4,0,17.6666666666667,0,22.4552845528455,134.731707317073,6,0,3,0,0
"7","00006-2",7,0.689939024390244,1.82926823313643,7.20325203252033,0,0,9.45121951219512,0,0,0.0589430894308943,0,19.232621891673,46.8649390839367,3,"regiones",2,0,1,0,17,0,63.5365853658537,66.0975609756098,3,0,1,0,0
"8","00007-1",8,26.0547634892684,4.60792952239744,19.4205312857795,3.1160999918938,7.05225980587066,2.85344195656386,1.51733891380049,2.49684597653753,0,0.961194964824836,68.0804059069365,100.822033117454,2,"metropolitana",2,0,0,0,53,0,84.4512195121951,168.90243902439,2,0,0,0,0
"9","00008-1",9,8.64925202904678,4.11300455641919,11.2569918897675,0,0,2.68096139450298,3.17073170731707,4.4219512195122,0,0,34.2928927965658,32.4797901302635,1,"regiones",1,0,0,0,81,0,66.7726829268293,66.7726829268293,1,0,0,0,0
"10","00009-1",10,49.4270981328851,32.6351132609478,39.175200239232,19.7323298939357,50.8095734059907,71.8271774315369,36.6247492357364,11.00935056692,24.0752032520325,6.01969044242947,341.335485861647,-164.445241959208,5,"metropolitana",2,0,3,2,20,1,35.3780487804878,176.890243902439,5,0,3,2,1
"11","00010-1",11,27.8553900797201,0.0196446258295891,8.53401549002125,2.89297505057208,7.49966607365094,0.970148823574837,9.78389465739088,0.252931024594352,22.3577235772358,2.88572440366163,83.0521138062514,-63.5399186843002,2,"regiones",1,0,0,0,41,0,9.75609756097561,19.5121951219512,2,0,0,0,0
"12","00011-1",12,40.8926828523962,0.683838614087075,15.5785162618422,5.11018507169996,0.390243902439024,3.84390249857088,3.85459539548667,4.21658536585366,0,0,74.5705499623756,19.5187183303073,2,"regiones",1,0,0,1,55.5,0,47.0446341463415,94.0892682926829,2,0,0,1,0
"13","00012-1",13,7.09756097560976,4.77200424178155,65.780487804878,21.4496288441145,39.7667020148462,2.44644750795334,34.9946977730647,19.8833510074231,67.9268292682927,11.2831389183457,275.40084835631,-82.2301166489926,1,"regiones",3,0,0,0,19,0,193.170731707317,193.170731707317,1,0,0,0,0
"14","00013-1",14,64.5115557690542,0.164547553666334,36.1354323881756,2.13130213657853,3.60582317197197,18.3734516843488,13.3453179513653,16.777288815543,0,36.513698361464,191.558417832168,66.5664764767753,1,"regiones",3,0,0,0,42,1,258.124894308943,258.124894308943,1,0,0,0,1
"15","00014-1",15,17.9658537031965,0,2.98780487804878,0,3.57900318133616,0,0,0.170731707317073,0,0,24.7033934698985,49.1990455544918,3,"metropolitana",1,0,0,0,59,0,24.6341463414634,73.9024390243902,3,0,0,0,0
"16","00015-1",16,62.7639024390244,19.5567514824488,135.650945664886,4.65322433663897,15.1452386002121,38.266416510319,11.0288068241409,59.328702701961,0,19.9120879120879,366.306076471719,-159.828759398548,5,"regiones",3,0,1,1,28.4,0,41.2954634146341,206.477317073171,5,0,1,1,0
