"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"PH",2.23975613292294,0.110929960655591,20.1907232246914,0.295185684288975,7.5876177339627
"theta_w",-5.53410039153533,0.341001277984998,-16.228972584023,1.06808609003828,-5.18132428008401
"theta_leisure_socialization",0.286461672214378,0.00293297605375977,97.6692843595379,0.00460613223034814,62.1913696543459
"theta_leisure_hobbies",0.0440370438570926,0.00113922035152703,38.6554223667656,0.00153802978983019,28.6321137264543
"theta_leisure_reading",0.0285136629780082,0.000701634261298843,40.638926219516,0.000840508561692031,33.924298070929
"theta_leisure_audio",0.221610536452111,0.00304674213366826,72.7368863952045,0.00424050828996153,52.2603709976762
"theta_leisure_video",0.193440673704863,0.00240898168120727,80.2997694892885,0.00335971079438213,57.5765848740077
"phi_1",2.85651848421257,0.161513767584216,17.6859132626148,0.496428436057966,5.75413952289999
"sigma_1",14.4069333380652,0.181666298552984,79.3043809050987,0.379950205989105,37.9179511182534
"sigma_2",8.02917362515514,0.0862945432714423,93.0438162225288,0.105190817249323,76.3296059020478
"sigma_3",3.46446178977415,0.0370881613313043,93.4115271670253,0.138950376255109,24.9330867835399
"sigma_4",2.13773429466006,0.0228858448282223,93.4085811865619,0.061595646485279,34.7059316143547
"sigma_5",8.85544493848615,0.0948535092621753,93.3591704447084,0.118708868607388,74.5980063863147
"sigma_6",6.90966177398324,0.0741799934332725,93.1472416507927,0.113661036351663,60.7918244965233
"sigma_7",23.4766626937054,0.299743986235731,78.3223810043095,0.698591136920402,33.6057265157951
"rho_12",0,NA,NA,NA,NA
"rho_13",0,NA,NA,NA,NA
"rho_14",0,NA,NA,NA,NA
"rho_15",0,NA,NA,NA,NA
"rho_16",0,NA,NA,NA,NA
"rho_17",0,NA,NA,NA,NA
"rho_23",0,NA,NA,NA,NA
"rho_24",0,NA,NA,NA,NA
"rho_25",0,NA,NA,NA,NA
"rho_26",0,NA,NA,NA,NA
"rho_27",0,NA,NA,NA,NA
"rho_34",0,NA,NA,NA,NA
"rho_35",0,NA,NA,NA,NA
"rho_36",0,NA,NA,NA,NA
"rho_37",0,NA,NA,NA,NA
"rho_45",0,NA,NA,NA,NA
"rho_46",0,NA,NA,NA,NA
"rho_47",0,NA,NA,NA,NA
"rho_56",0,NA,NA,NA,NA
"rho_57",0,NA,NA,NA,NA
"rho_67",0,NA,NA,NA,NA
