"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"PH",2.98275902902783,0.0984991070228552,30.282092083695,0.103290018018175,28.8775148485595
"theta_w",-7.69003026806839,0.269845806439255,-28.4978683550507,0.407988281218571,-18.8486547826814
"theta_leisure_socialization",0.280587733980659,0.00231279650490051,121.319680908429,0.00282211807342865,99.4245196976352
"theta_leisure_hobbies",0.0449388213684276,0.00112671028544353,39.8849836990148,0.00150479646650468,29.8637206882941
"theta_leisure_reading",0.0283964370727241,0.00069194367175171,41.0386542026408,0.000814302072552314,34.8721169083108
"theta_leisure_audio",0.21319122616482,0.00280811068438013,75.9198087706006,0.00343791494424548,62.011780286091
"theta_leisure_video",0.184113010527896,0.00204953181983988,89.83174047148,0.0023474290103863,78.4317692732263
"theta_leisure_computer",0.0932182421154359,0.00176149725988567,52.9198905035403,0.00241790144260996,38.5533671772879
"phi_1",3.70119976089899,0.12694495095343,29.1559430532751,0.196582849709309,18.8276839326117
"sigma_1",15.1417566857445,0.203237088404267,74.5029207249092,0.333999875014712,45.3346178200741
"sigma_2",8.12422108840869,0.0929132228238542,87.4388040958462,0.121089272879733,67.0928224705567
"sigma_3",3.49154482910527,0.0382002131839982,91.4011870113818,0.141353984053843,24.7007175105536
"sigma_4",2.13485972401696,0.0230487000618692,92.6238667814843,0.0615801489459296,34.6679857155181
"sigma_5",9.07141788911139,0.108860939880729,83.3303285737778,0.160090845985891,56.6641885939615
"sigma_6",6.82138595132084,0.0724907357908802,94.1001064053072,0.11364141260731,60.0255293806692
"sigma_7",5.68346144694915,0.0635007771317644,89.5022345184209,0.133320764070127,42.6299795578704
"sigma_8",21.7372216509342,0.207169305105562,104.924914624095,0.394456056033836,55.1068270303589
"rho_12",-0.504456347056071,0.012471083675997,-40.450081176746,0.0136667655796354,-36.9111728826133
"rho_13",-0.216712779478406,0.0162240777619195,-13.357479091173,0.018844697699414,-11.4999339832946
"rho_14",-0.20317789065542,0.016089261744693,-12.6281674000634,0.0166318098478419,-12.2162225587123
"rho_15",-0.35693054190767,0.0154528558654208,-23.0980308763756,0.0201430855359476,-17.7197550628819
"rho_16",-0.409778288130265,0.0138453825033374,-29.5967473655197,0.0146249471625902,-28.0191294761362
"rho_17",-0.354709663716511,0.0148315729136328,-23.9158493695885,0.0176157650167599,-20.1359216235591
"rho_18",0.0463790833772576,0.0208090610753108,2.22879269801772,0.0435762755270932,1.06431958253114
"rho_23",0.055321602438717,0.0157714112624724,3.5077141492311,0.0198034926038947,2.79352756330654
"rho_24",0.023310245173473,0.015697556956135,1.48496006344241,0.015744476404227,1.48053479677576
"rho_25",-0.155719254180233,0.0157178563520815,-9.90715595639167,0.0176366721808455,-8.82928778079537
"rho_26",0.00959033526650936,0.015804956384528,0.606792896682566,0.0179810233015319,0.533358702988405
"rho_27",0.00383082841610766,0.0161136146310389,0.237738614446476,0.0186607426434125,0.205288100763771
"rho_28",-0.0668946682809733,0.0176799266375765,-3.78365078386677,0.0260666675421584,-2.56629153583911
"rho_34",0.078196735318382,0.0152528050768832,5.12671177034153,0.0229138233459222,3.41264459177644
"rho_35",-0.0939880961874231,0.0154289929551266,-6.09165461808017,0.0145540633550708,-6.45785949218618
"rho_36",-0.0799479257543465,0.0154219118245876,-5.18404765010284,0.0154436064838283,-5.17676527422939
"rho_37",0.111641128860061,0.0154668193223775,7.21810519235441,0.0180756984610939,6.1763106471574
"rho_38",-0.0781919663819114,0.016688872964744,-4.68527542555422,0.0180082941254355,-4.34199740615468
"rho_45",-0.0813190029692846,0.0153823469250831,-5.286514688905,0.0140155736890748,-5.80204597922901
"rho_46",0.0119468795741056,0.0153855940867548,0.776497774914684,0.0168064878682835,0.71084926652946
"rho_47",0.101219493365184,0.0153907589967127,6.57664078729344,0.0163306606017023,6.19812607915158
"rho_48",-0.0290994141503116,0.0167788839198276,-1.73428782804348,0.0201403808671922,-1.44482938739819
"rho_56",-0.151366635643565,0.0153768246536577,-9.84381620086689,0.0169537729297883,-8.92819765077831
"rho_57",-0.0737775055520615,0.0159391570331095,-4.62869557021162,0.0160930019631796,-4.58444643956813
"rho_58",-0.0209608722719816,0.0172779665000927,-1.21315620515118,0.0216409672250932,-0.96857372657896
"rho_67",-0.0279255551800528,0.0158155687060264,-1.76570034875901,0.0180995978819848,-1.54288262988694
"rho_68",0.0966828683689348,0.0172759294965048,5.59639169565351,0.0217901700168206,4.43699467669605
"rho_78",-0.166474459524342,0.0165390505087823,-10.0655390970566,0.0205552735719934,-8.09886859161842
