"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"asc_alimentos",0.266078354189246,0.210141784175889,1.26618490098351,0.0440417711729118,6.04149985577556
"bnpersonas_alimentos",0.210298186450101,0.0414486327581511,5.07370623482737,0.00882080298493749,23.8411612649334
"bnmenores_0_5_alimentos",0.0284605360333749,0.0974133009333114,0.292162730968934,0.0199621378983947,1.42572585051943
"bnmenores_6_11_alimentos",-0.105627427852602,0.0704746444838269,-1.49880043562111,0.0140740730628658,-7.50510725507731
"bntrabajadores_alimentos",-0.0117151800509589,0.0619179840504443,-0.18920480423611,0.0127657893240165,-0.917701189766539
"bnprofesionales_alimentos",-0.101466888691788,0.0617214340244213,-1.64394898296823,0.0120124455506738,-8.44681362040361
"bedadpromedio_alimentos",0.0280364158270442,0.00343863098821439,8.15336566300269,0.000770603779468732,36.3824011431309
"bq2_alimentos",-0.172905820132187,0.129480063257139,-1.33538566311022,0.0285262469951599,-6.06128875493241
"bq3_alimentos",-0.300835230089986,0.142700723692501,-2.10815490143022,0.0304886999219995,-9.86710587396724
"bq4_alimentos",-0.452668516542093,0.152419606183145,-2.9698837825245,0.0314902062603016,-14.3748984303337
"bq5_alimentos",-0.69641226583573,0.177617272034937,-3.92085892242927,0.0366871747199451,-18.9824447140413
"bmetro_alimentos",0.349041052026459,0.0882577639730318,3.95479146891953,0.0186948446447512,18.6704441068708
"asc_vestimenta",0,NA,NA,NA,NA
"bnpersonas_vestimenta",0,NA,NA,NA,NA
"bnmenores_0_5_vestimenta",0,NA,NA,NA,NA
"bnmenores_6_11_vestimenta",0,NA,NA,NA,NA
"bntrabajadores_vestimenta",0,NA,NA,NA,NA
"bnprofesionales_vestimenta",0,NA,NA,NA,NA
"bedadpromedio_vestimenta",0,NA,NA,NA,NA
"bq2_vestimenta",0,NA,NA,NA,NA
"bq3_vestimenta",0,NA,NA,NA,NA
"bq4_vestimenta",0,NA,NA,NA,NA
"bq5_vestimenta",0,NA,NA,NA,NA
"bmetro_vestimenta",0,NA,NA,NA,NA
"asc_cuentas",1.32562234788737,0.21102458248972,6.28183850548288,0.0473655207961064,27.9870742600668
"bnpersonas_cuentas",-0.0898629365274092,0.0424444779995698,-2.11718793027258,0.00952824746793885,-9.43121353950816
"bnmenores_0_5_cuentas",0.145013775508862,0.0997204620431536,1.45420280389504,0.021423937908272,6.7687731419755
"bnmenores_6_11_cuentas",-0.0466538685325191,0.0726070141155686,-0.642553189947464,0.0153784744447908,-3.03371239455564
"bntrabajadores_cuentas",-0.0369940271979481,0.0630902633736892,-0.586366662932269,0.0136979238385509,-2.70070323313038
"bnprofesionales_cuentas",-0.00194812351753707,0.0612499508748679,-0.0318061237553813,0.0126487830033272,-0.154016676309858
"bedadpromedio_cuentas",0.0159132159617064,0.00346405185381873,4.5938157490812,0.000818416696652856,19.4439043421132
"bq2_cuentas",-0.0686113910555298,0.131884688580151,-0.520237730355122,0.0306974236654074,-2.23508629920782
"bq3_cuentas",-0.0534798519370977,0.144813499715925,-0.369301564025501,0.0325773631688475,-1.64162617029234
"bq4_cuentas",-0.0988644477675451,0.153854297848,-0.64258489460735,0.0337992138731403,-2.92505169317299
"bq5_cuentas",-0.136171934063655,0.177427722904061,-0.76747833898137,0.0388501813589855,-3.50505272563317
"bmetro_cuentas",0.185147740305025,0.0893674688265624,2.07175768471574,0.0198128949952812,9.34481005169216
"asc_hogar",-1.22335835366586,0.270881232767909,-4.51621672408007,0.0640332538271899,-19.1050474643597
"bnpersonas_hogar",-0.0338363043095074,0.0527070021467534,-0.641969812953812,0.0115146660830607,-2.93853977748293
"bnmenores_0_5_hogar",0.300850725983949,0.12308400704421,2.44427146311451,0.027113448933983,11.0959961868545
"bnmenores_6_11_hogar",0.0701275245298608,0.0905903964573766,0.774116542947864,0.0194270234265431,3.60979255494415
"bntrabajadores_hogar",-0.0585918455946955,0.0774245210483409,-0.756760840123415,0.0165730852679953,-3.53536137944355
"bnprofesionales_hogar",0.0907127258372554,0.0707978887320237,1.28129139811797,0.0146928363979694,6.17394241521619
"bedadpromedio_hogar",0.0287070687264784,0.00417411849656665,6.87739668868791,0.00110234452056273,26.0418301093599
"bq2_hogar",0.176394012446406,0.16831038904452,1.04802807151582,0.040659792385457,4.33829102653012
"bq3_hogar",0.286488354477614,0.182004661489346,1.57407152175816,0.0436692548635888,6.56041316419362
"bq4_hogar",0.400334523275479,0.189633854360456,2.11109205487393,0.0442222318600744,9.05278875435767
"bq5_hogar",0.653926141064011,0.210617844906148,3.104799317244,0.0483819738969301,13.5159045486051
"bmetro_hogar",0.113379025293194,0.109623352859381,1.03425978439676,0.0248332688917828,4.56561018153799
"asc_salud",-0.92838732337471,0.242166633266879,-3.83367151308406,0.0604196074571275,-15.365662943664
"bnpersonas_salud",0.0760107408001403,0.0468914413267012,1.62099390954011,0.0109627329054049,6.93355766814909
"bnmenores_0_5_salud",0.164408459824817,0.111560047386302,1.473721674351,0.0257033264885842,6.39638841680033
