"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"PH_1",0.414347776415078,0.0501909727197281,8.25542431163549,0.108242097983638,3.8279725183977
"theta_w_1",0.0379035847439392,0.100734501241666,0.376272124016449,0.202722926517664,0.186972363683969
"sigma_1",13.0978130278922,0.300360632503611,43.6069564733478,0.656852908090276,19.9402527819699
"asc_1",0,NA,NA,NA,NA
"x_female_1",0,NA,NA,NA,NA
"x_mayor45_1",0,NA,NA,NA,NA
"x_underage_in_household_1",0,NA,NA,NA,NA
"x_only_worker_1",0,NA,NA,NA,NA
"x_university_1",0,NA,NA,NA,NA
"x_metropolitana_1",0,NA,NA,NA,NA
"PH_female_1",-0.355741532985367,0.0613375940290004,-5.7997307950679,0.118483015361098,-3.00246859772416
"theta_w_female_1",0.820459883337414,0.148521945197302,5.52416602305798,0.277471727224614,2.95691345400841
"PH_2",0.0537586900852745,0.0169939157567316,3.16340806055719,0.0480660567752317,1.11843354108832
"theta_w_2",0.402424134965288,0.0324604421717149,12.3973707085219,0.0884211604952856,4.55121978394238
"sigma_2",5.0742043000258,0.333605151173701,15.2102096810363,0.819840513697303,6.18925780715841
"asc_2",-0.172964363041887,0.178124294414048,-0.971031849478279,0.260251375404166,-0.664604991129349
"x_female_2",0.00507531276868949,0.154440366066811,0.0328626051462083,0.252446969065433,0.0201044710002995
"x_mayor45_2",0.201615738636691,0.139776661796892,1.44241346191009,0.220329305373614,0.915065466642348
"x_underage_in_household_2",0.402591002943784,0.149572251769358,2.69161557829981,0.262510516786723,1.53361856839766
"x_only_worker_2",-1.86194316093971,0.275632082120465,-6.75517576406782,0.659881287979783,-2.82163351932591
"x_university_2",0.150447410135107,0.196110058142721,0.767158051758963,0.271445992529302,0.554244359009523
"x_metropolitana_2",-0.151542573930976,0.142729095867708,-1.06174969448021,0.15766525625709,-0.9611665723225
"PH_female_2",0.516263849577429,0.0540759020162145,9.54702243196292,0.103745601445377,4.97624807591717
"theta_w_female_2",-1.17561171619481,0.109611835032998,-10.7252261203446,0.222599853467494,-5.28127803267619
