"","PH_1","theta_w_1","sigma_1","PH_female_1","PH_mayor45_1","PH_only_worker_1","theta_w_female_1","theta_w_mayor45_1","theta_w_only_worker_1","PH_2","theta_w_2","sigma_2","asc_2","x_female_2","x_mayor45_2","x_underage_in_household_2","x_only_worker_2","x_university_2","x_metropolitana_2","PH_female_2","PH_mayor45_2","PH_only_worker_2","theta_w_female_2","theta_w_mayor45_2","theta_w_only_worker_2"
"PH_1",-90694.8116607964,-19475.9195437655,32.7418092638254,-24605.4696617648,-15488.694771193,-77736.3311499357,-7099.51564203948,-6350.09200777858,-12629.2434288189,-1495.20928971469,-725.776772014797,-43.6557456851006,-118.234311230481,-5.45696821063757,0,-178.260961547494,-260.115484707057,0,-9.09494701772928,-803.993316367269,0,-38.198777474463,-383.806764148176,0,-25.465851649642
"theta_w_1",-19475.9195437655,-7024.9370764941,-7.27595761418343,-7101.33463144302,-6350.09200777858,-12629.2434288189,-2793.96772384644,-3032.25533571094,-3215.97326546907,-838.55411503464,-409.272615797818,-3.63797880709171,87.3114913702011,49.1127138957381,0,25.465851649642,-25.465851649642,0,30.9228198602796,-422.005541622639,0,-85.4925019666553,-207.364792004228,0,-36.3797880709171
"sigma_1",32.7418092638254,-7.27595761418343,-69.1215973347425,0,1.81898940354586,43.6557456851006,-1.81898940354586,1.81898940354586,1.81898940354586,20.0088834390044,12.732925824821,0,9.09494701772928,5.45696821063757,0,7.27595761418343,-1.81898940354586,0,1.81898940354586,9.09494701772928,0,-5.45696821063757,5.45696821063757,0,-3.63797880709171
"PH_female_1",-24605.4696617648,-7101.33463144302,0,-24605.4696617648,-5949.9143389985,-18761.056708172,-7099.51564203948,-2431.98883254081,-4081.8122215569,-803.993316367269,-383.806764148176,-3.63797880709171,-5.45696821063757,-7.27595761418343,-1.81898940354586,-30.9228198602796,-69.1215973347425,0,-5.45696821063757,-803.993316367269,0,-69.1215973347425,-383.806764148176,-1.81898940354586,-30.9228198602796
"PH_mayor45_1",-15488.694771193,-6350.09200777858,1.81898940354586,-5949.9143389985,-15488.694771193,-9817.08581093699,-2430.16984313726,-6350.09200777858,-3265.08597936481,0,0,0,0,-1.81898940354586,0,0,0,0,-1.81898940354586,-1.81898940354586,0,-1.81898940354586,-1.81898940354586,0,-1.81898940354586
"PH_only_worker_1",-77736.3311499357,-12629.2434288189,43.6557456851006,-18761.056708172,-9817.08581093699,-77734.5121605322,-4081.8122215569,-3265.08597936481,-12629.2434288189,-38.198777474463,-25.465851649642,-41.8367562815547,-260.115484707057,-69.1215973347425,0,-240.106601268053,-260.115484707057,0,-54.5696821063757,-69.1215973347425,0,-38.198777474463,-30.9228198602796,-1.81898940354586,-25.465851649642
"theta_w_female_1",-7099.51564203948,-2793.96772384644,-1.81898940354586,-7099.51564203948,-2430.16984313726,-4081.8122215569,-2793.96772384644,-1187.80008051544,-1136.86837721616,-422.005541622639,-205.545802600682,0,50.931703299284,50.931703299284,0,27.2848410531878,-3.63797880709171,0,12.732925824821,-422.005541622639,0,-38.198777474463,-205.545802600682,0,-16.3709046319127
"theta_w_mayor45_1",-6350.09200777858,-3032.25533571094,1.81898940354586,-2431.98883254081,-6350.09200777858,-3265.08597936481,-1187.80008051544,-3032.25533571094,-1240.55077321827,0,0,0,0,-1.81898940354586,0,0,0,0,-1.81898940354586,-1.81898940354586,0,-1.81898940354586,-1.81898940354586,0,-1.81898940354586
"theta_w_only_worker_1",-12629.2434288189,-3215.97326546907,1.81898940354586,-4081.8122215569,-3265.08597936481,-12629.2434288189,-1136.86837721616,-1240.55077321827,-3214.15427606553,-85.4925019666553,-36.3797880709171,-3.63797880709171,-25.465851649642,-3.63797880709171,0,-29.1038304567337,-25.465851649642,0,-5.45696821063757,-40.0177668780088,0,-85.4925019666553,-16.3709046319127,0,-36.3797880709171
"PH_2",-1495.20928971469,-838.55411503464,20.0088834390044,-803.993316367269,0,-38.198777474463,-422.005541622639,0,-85.4925019666553,-5646.14310860634,-2777.59681921452,90.9494701772928,52.7506927028298,34.5607986673713,0,72.7595761418343,-27.2848410531878,0,87.3114913702011,-2455.63569478691,-118.234311230481,-458.385329693556,-1189.61906991899,-109.139364212751,-185.536919161677
