"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"PH_1",0.249905609063796,0.0236029481440702,10.5878980684275,0.0556387947624233,4.49157121628692
"theta_w_1",0.305023874747368,0.0511457521227012,5.96381638920081,0.124144879834308,2.45699923472054
"theta_1_1",0.267172007056701,0.00304295147952245,87.80028497156,0.00466381335586653,57.2861704940721
"theta_2_1",0,NA,NA,NA,NA
"theta_3_1",0.545859477066829,0.00331902798798924,164.463655938474,0.00453989585959618,120.236123018774
"sigma_1_1",11.4466367342038,0.291647941066422,39.2481314709397,1.10188097702301,10.388269670586
"sigma_2_1",7.06769721599337,0.14333447834851,49.3091215555873,0.338081532827328,20.9053039865479
"sigma_3_1",0,NA,NA,NA,NA
"sigma_4_1",10.6150016178442,0.215625347813709,49.2289136016379,0.727309498663706,14.5948892972624
"rho_12_1",-0.398079651102042,0.0170667376156803,-23.3248825912868,0.0260026264963244,-15.3092092892352
"rho_13_1",0,NA,NA,NA,NA
"rho_14_1",-0.714312881984548,0.0123796059795843,-57.700776839146,0.0325097983475482,-21.9722335508863
"rho_23_1",0,NA,NA,NA,NA
"rho_24_1",-0.258740836809107,0.0213460971313508,-12.1212245600203,0.0516190560357599,-5.01250616884315
"rho_34_1",0,NA,NA,NA,NA
"asc_1",0,NA,NA,NA,NA
"x_female_1",0,NA,NA,NA,NA
"x_mayor45_1",0,NA,NA,NA,NA
"x_underage_in_household_1",0,NA,NA,NA,NA
"x_only_worker_1",0,NA,NA,NA,NA
"x_university_1",0,NA,NA,NA,NA
"x_metropolitana_1",0,NA,NA,NA,NA
"PH_2",0.231500632681574,0.0310098270914827,7.46539579207004,0.057939352248092,3.99556818809961
"theta_w_2",0.136483169855431,0.0688675440169643,1.98182136162444,0.133691971239245,1.02087783275476
"theta_1_2",0.30083846593334,0.00523979108891395,57.4142099996767,0.00814396231928829,36.9400611322611
"theta_2_2",0.103224549223215,0.00270309988210679,38.1874713200617,0.00355431528862756,29.0420350590433
"theta_3_2",0.446264828522743,0.00508147788396374,87.8218578754572,0.00720484025707897,61.9395868054498
"sigma_1_2",11.5755983716832,0.316552993838008,36.5676477462312,0.825219749628261,14.0272919751347
"sigma_2_2",8.76906982929775,0.328900469891481,26.6617734909015,1.13439831812862,7.73015059098798
"sigma_3_2",4.72302502026599,0.103941124591484,45.439425817536,0.352981876006515,13.3803612630208
"sigma_4_2",9.75500433241871,0.345272167289634,28.2530862797164,1.13926678724993,8.56252849779485
"rho_12_2",-0.421481512577695,0.0264143449751963,-15.9565385010863,0.0395080523744688,-10.6682432376765
"rho_13_2",-0.267274213867013,0.0290545529180292,-9.199047551035,0.0341943083144143,-7.81633631566532
"rho_14_2",-0.577776624767208,0.0203485603031603,-28.3939805155392,0.0222175979443495,-26.0053596349353
"rho_23_2",-0.157622318496266,0.0333130492551039,-4.73154880807305,0.0550345002137332,-2.86406377606992
"rho_24_2",-0.313898281948732,0.0308663746360134,-10.1695869907083,0.0655645566076678,-4.78762151671474
"rho_34_2",-0.0329949227306477,0.0329909513650583,-1.00012037741942,0.052892930536663,-0.62380591122243
"asc_2",-0.0366367772475401,0.148403824777042,-0.246872190137836,0.469081127255145,-0.0781032855913906
"x_female_2",-0.885205235700372,0.113741506300398,-7.78260517635919,0.304152453884681,-2.91039978272211
"x_mayor45_2",-1.1793332981288,0.129927373898654,-9.07686550371365,0.390571995253436,-3.01950296606276
"x_underage_in_household_2",-0.468528735760129,0.101471041478833,-4.61736401767262,0.205674356543255,-2.27801240579835
"x_only_worker_2",-0.000557370064774715,0.0916798267673767,-0.00607952790082114,0.117695101035581,-0.00473571168103431
"x_university_2",0.759200084175419,0.108085446133663,7.02407318776814,0.141615538769687,5.36099421554386
"x_metropolitana_2",0.285764117928296,0.119226877036141,2.39680955361828,0.335778341902302,0.851049881029678
