"","alpha_1","beta_w1_1","beta_w2_1","beta_ta1_1","beta_ta2_1","beta_Ec1_1","beta_Ec2_1","beta_wta_1","beta_wEc_1","beta_taEc_1","alpha_2","beta_w1_2","beta_w2_2","beta_ta1_2","beta_ta2_2","beta_Ec1_2","beta_Ec2_2","beta_wta_2","beta_wEc_2","beta_taEc_2","alpha_3","beta_w1_3","beta_w2_3","beta_ta1_3","beta_ta2_3","beta_Ec1_3","beta_Ec2_3","beta_wta_3","beta_wEc_3","beta_taEc_3","alpha_4","beta_w1_4","beta_w2_4","beta_ta1_4","beta_ta2_4","beta_Ec1_4","beta_Ec2_4","beta_wta_4","beta_wEc_4","beta_taEc_4","alpha_5","beta_w1_5","beta_w2_5","beta_ta1_5","beta_ta2_5","beta_Ec1_5","beta_Ec2_5","beta_wta_5","beta_wEc_5","beta_taEc_5","sigma_1","sigma_2","sigma_3","sigma_4","sigma_5","asc_2","x_female_2","x_mayor45_2","x_underage_in_household_2","x_only_worker_2","x_university_2","x_metropolitana_2","asc_3","x_female_3","x_mayor45_3","x_underage_in_household_3","x_only_worker_3","x_university_3","x_metropolitana_3","asc_4","x_female_4","x_mayor45_4","x_underage_in_household_4","x_only_worker_4","x_university_4","x_metropolitana_4","asc_5","x_female_5","x_mayor45_5","x_underage_in_household_5","x_only_worker_5","x_university_5","x_metropolitana_5"
"alpha_1",-5.45696821063757,0,-76.397554948926,-5.45696821063757,-2140.95052797347,-14.5519152283669,-39079.1683457792,41.8367562815547,-1284.20651890337,-1768.05770024657,1.81898940354586,0,-5.45696821063757,1.81898940354586,-7.27595761418343,-16.3709046319127,-3910.82721762359,-5.45696821063757,-140.062184073031,-172.803993336856,-1.81898940354586,0,-7.27595761418343,12.732925824821,-10.9139364212751,20.0088834390044,-5089.53235112131,-5.45696821063757,-160.071067512035,74.5785655453801,1.81898940354586,0,1.81898940354586,3.63797880709171,-32.7418092638254,-1.81898940354586,760.337570682168,5.45696821063757,23.6468622460961,120.053300634027,0,0,0,23.6468622460961,-20.0088834390044,-21.8278728425503,125.510268844664,-27.2848410531878,-30.9228198602796,-529.325916431844,-1.81898940354586,0,-1.81898940354586,1.81898940354586,-1.81898940354586,1.81898940354586,1.81898940354586,0,0,0,1.81898940354586,0,1.81898940354586,1.81898940354586,1.81898940354586,1.81898940354586,1.81898940354586,1.81898940354586,1.81898940354586,3.63797880709171,3.63797880709171,1.81898940354586,3.63797880709171,3.63797880709171,1.81898940354586,1.81898940354586,10.9139364212751,5.45696821063757,7.27595761418343,9.09494701772928,3.63797880709171,0,3.63797880709171
"beta_w1_1",0,-76.397554948926,-627.55134422332,41.8367562815547,-1429.72567118704,-1286.02550830692,-221833.033720031,10.9139364212751,-8858.47839526832,-10510.120773688,0,-7.27595761418343,-85.4925019666553,-7.27595761418343,-196.450855582952,-140.062184073031,-29289.3673758954,-70.9405867382884,-1407.89779834449,-1657.09934663028,0,-7.27595761418343,-16.3709046319127,-5.45696821063757,-141.881173476577,-160.071067512035,3474.26976077259,41.8367562815547,-163.709046319127,2370.14319282025,0,1.81898940354586,20.0088834390044,5.45696821063757,-276.48638933897,21.8278728425503,1706.21206052601,36.3797880709171,351.06495488435,-449.290382675827,0,-1.81898940354586,1.81898940354586,-29.1038304567337,154.614099301398,-29.1038304567337,-3017.70342048258,38.198777474463,-216.459739021957,1782.60961547494,5.45696821063757,0,1.81898940354586,0,1.81898940354586,-1.81898940354586,0,-1.81898940354586,0,0,0,-1.81898940354586,-1.81898940354586,0,0,0,0,1.81898940354586,1.81898940354586,0,-1.81898940354586,-1.81898940354586,0,0,0,1.81898940354586,-12.732925824821,-7.27595761418343,-5.45696821063757,-10.9139364212751,-1.81898940354586,0,-1.81898940354586
"beta_w2_1",-76.397554948926,-627.55134422332,-8201.82322058827,10.9139364212751,-36252.4588126689,-8858.47839526832,-2288204.99614812,1247.82673083246,-107556.843431666,-82398.4009912238,-5.45696821063757,-87.3114913702011,-1187.80008051544,-70.9405867382884,-1795.34254129976,-1407.89779834449,-305741.195916198,-920.408638194203,-16892.9545907304,-18384.525901638,-9.09494701772928,-16.3709046319127,423.824531026185,41.8367562815547,-2000.88834390044,-160.071067512035,276788.341579959,-176.441972143948,9200.44840313494,14682.8824654222,1.81898940354586,20.0088834390044,332.875060848892,36.3797880709171,-3348.75949192792,349.245965480804,20574.5891435072,389.263732358813,5318.72501596808,-7959.89762991667,-1.81898940354586,0,38.198777474463,36.3797880709171,1351.50912683457,-214.640749618411,-2033.63015316427,-311.047188006341,-627.55134422332,203.726813197136,-1.81898940354586,-3.63797880709171,5.45696821063757,0,-5.45696821063757,0,-5.45696821063757,1.81898940354586,0,14.5519152283669,0,-16.3709046319127,9.09494701772928,0,1.81898940354586,10.9139364212751,10.9139364212751,9.09494701772928,7.27595761418343,-10.9139364212751,-7.27595761418343,-9.09494701772928,-9.09494701772928,-3.63797880709171,-3.63797880709171,9.09494701772928,18.1898940354586,5.45696821063757,7.27595761418343,10.9139364212751,7.27595761418343,-1.81898940354586,3.63797880709171
"beta_ta1_1",-5.45696821063757,41.8367562815547,10.9139364212751,-2139.13153856993,5980.83715885878,-1768.05770024657,-311283.656628802,-1429.72567118704,-10510.120773688,-391.082721762359,1.81898940354586,-7.27595761418343,-70.9405867382884,-7.27595761418343,249.201548285782,-170.985003933311,-44552.5074610487,-196.450855582952,-1655.28035722673,-3772.58402295411,12.732925824821,-5.45696821063757,41.8367562815547,-12.732925824821,-2959.49575956911,74.5785655453801,64739.6518616006,-141.881173476577,2373.78117162734,-3459.71784554422,5.45696821063757,5.45696821063757,36.3797880709171,-32.7418092638254,3534.2964110896,120.053300634027,14999.3866216391,-274.667399935424,-449.290382675827,1800.7995095104,23.6468622460961,-29.1038304567337,38.198777474463,-20.0088834390044,17853.3809958026,-529.325916431844,55664.7137273103,154.614099301398,1780.79062607139,4954.92713525891,-18.1898940354586,0,45.4747350886464,3.63797880709171,20.0088834390044,1.81898940354586,0,0,0,0,0,-1.81898940354586,65.4836185276508,29.1038304567337,36.3797880709171,60.0266503170133,12.732925824821,12.732925824821,27.2848410531878,-16.3709046319127,-16.3709046319127,-7.27595761418343,-12.732925824821,-14.5519152283669,3.63797880709171,-7.27595761418343,70.9405867382884,-12.732925824821,30.9228198602796,45.4747350886464,30.9228198602796,12.732925824821,20.0088834390044
"beta_ta2_1",-2140.95052797347,-1429.72567118704,-36252.4588126689,5980.83715885878,-2307695.46760712,-391.082721762359,-14769790.1411448,55357.3045181111,-400448.698201217,-2188644.43013445,-7.27595761418343,-196.450855582952,-1795.34254129976,249.201548285782,2002.70733330399,-3770.76503355056,-1008591.4254887,-2790.32974503934,-41003.6591347307,-60314.0506427735,-12.732925824821,-140.062184073031,-2000.88834390044,-2961.31474897265,177569.745574147,-3459.71784554422,-322454.070555978,5091.35134052485,-41578.4597862512,359976.183972321,-32.7418092638254,-276.48638933897,-3348.75949192792,3532.47742168605,-116941.00976456,1798.98052010685,301621.184917167,17516.8679561466,26491.7616732419,-23572.2836805508,-20.0088834390044,152.795109897852,1351.50912683457,17851.562006399,32807.2928823531,4949.47016704828,483434.632769786,-28163.4129351005,-591.171556152403,-435300.535173155,-1165.97220767289,-32.7418092638254,-723.957782611251,-3.63797880709171,-174.622982740402,261.934474110603,65.4836185276508,185.536919161677,0,174.622982740402,36.3797880709171,45.4747350886464,-651.198206469417,-494.765117764473,-401.996658183634,-649.379217065871,-109.139364212751,-85.4925019666553,-269.210431724787,1040.46193882823,705.767888575792,305.590219795704,805.812305770814,642.103259451687,107.320374809206,447.471393272281,3305.10374624282,1107.76454675943,1431.54466059059,2530.21426033229,1189.61906991899,36.3797880709171,871.295924298465
"beta_Ec1_1",-14.5519152283669,-1286.02550830692,-8858.47839526832,-1768.05770024657,-391.082721762359,-39086.4443033934,-6253671.01747543,-10510.120773688,-221843.947656453,-311065.377900377,-16.3709046319127,-140.062184073031,-1407.89779834449,-172.803993336856,-3770.76503355056,-3916.28418583423,-784228.177508339,-1655.28035722673,-29354.850994423,-44647.094910033,18.1898940354586,-160.071067512035,-161.890056915581,72.7595761418343,-3459.71784554422,-4965.84107168019,208548.954105936,2373.78117162734,4609.3191485852,65818.3125779033,0,21.8278728425503,349.245965480804,120.053300634027,1800.7995095104,758.518581278622,110288.965515792,-449.290382675827,1688.02216649055,15032.128430903,-23.6468622460961,-30.9228198602796,-214.640749618411,-531.14490583539,4954.92713525891,125.510268844664,-4776.66617371142,1780.79062607139,-3023.16038869321,55655.6187802926,70.9405867382884,-27.2848410531878,121.872290037572,0,30.9228198602796,-25.465851649642,-12.732925824821,-27.2848410531878,0,14.5519152283669,-12.732925824821,-43.6557456851006,47.2937244921923,0,23.6468622460961,45.4747350886464,43.6557456851006,58.2076609134674,23.6468622460961,43.6557456851006,-29.1038304567337,14.5519152283669,32.7418092638254,54.5696821063757,69.1215973347425,3.63797880709171,-318.323145620525,-201.90782379359,-174.622982740402,-274.667399935424,-38.198777474463,9.09494701772928,-110.958353616297
"beta_Ec2_1",-39079.1683457792,-221833.033720031,-2288204.99614812,-311283.656628802,-14769790.1411448,-6253671.01747543,-1713333316.7294,-2278567.99028814,-56422419.2203255,-85240084.445104,-3903.55126000941,-29234.797693789,-304982.67733492,-44343.3236796409,-1001961.20911278,-781685.230322182,-205602002.097294,-464084.223494865,-7152366.3791595,-12892229.2788047,-4931.28027301282,4998.58288094401,294110.577669926,65880.1582176238,-299329.258268699,248279.320658185,112251565.951738,339803.591486998,6577070.96252125,10424379.070173,758.518581278622,1642.54743140191,19399.5219888166,15072.146197781,301246.473100036,109625.034383498,21807014.4910598,27035.6395049021,73729.0974939242,3337290.76373857,127.32925824821,-3023.16038869321,-2060.91499421746,55641.0668650642,484615.156892687,-4718.45851279795,23395274.1837129,-13098.5426949337,56270.4371986911,2798558.85310099,-10995.7909444347,-7219.5689426735,4727.55345981568,689.39698394388,-973.159330897033,-1618.90056915581,-1487.93333210051,-2451.99771597981,0,3912.64620702714,-3185.05044560879,-9020.3684521839,17173.0789588764,1320.58630697429,7270.50064597279,14410.0340548903,9891.66437648237,13194.9491333216,4878.52958030999,15375.9174281731,2386.51409745216,6053.59673500061,12179.9530461431,11534.2118078843,12425.5166156217,3961.75892092288,25778.7178270519,10171.7887446284,11526.9358502701,19292.2016140074,10853.9097709581,4860.33968627453,6510.16307529062
"beta_wta_1",41.8367562815547,10.9139364212751,1247.82673083246,-1429.72567118704,55357.3045181111,-10510.120773688,-2278567.99028814,-36257.9157808796,-82389.306044206,-400435.965275392,-5.45696821063757,-70.9405867382884,-920.408638194203,-196.450855582952,-2790.32974503934,-1655.28035722673,-465997.800347395,-1793.52355189621,-18384.525901638,-41005.4781241342,-7.27595761418343,43.6557456851006,-174.622982740402,-141.881173476577,5093.1703299284,2373.78117162734,328758.687828667,-2000.88834390044,14752.0040627569,-41456.5874962136,5.45696821063757,36.3797880709171,389.263732358813,-276.48638933897,17518.6869455501,-451.109372079372,25762.34692242,-3345.12151312083,-7963.53560872376,26488.1236944348,-29.1038304567337,36.3797880709171,-311.047188006341,152.795109897852,-28168.8699033111,1780.79062607139,-13016.6881717741,1351.50912683457,203.726813197136,-600.266503170133,5.45696821063757,-10.9139364212751,-20.0088834390044,-1.81898940354586,-27.2848410531878,-10.9139364212751,-5.45696821063757,-7.27595761418343,0,3.63797880709171,-9.09494701772928,-25.465851649642,-3.63797880709171,-10.9139364212751,-10.9139364212751,-5.45696821063757,7.27595761418343,27.2848410531878,-12.732925824821,50.931703299284,29.1038304567337,21.8278728425503,45.4747350886464,43.6557456851006,32.7418092638254,-18.1898940354586,-3.63797880709171,61.8456397205591,14.5519152283669,25.465851649642,-20.0088834390044,12.732925824821,-10.9139364212751
"beta_wEc_1",-1284.20651890337,-8858.47839526832,-107556.843431666,-10510.120773688,-400448.698201217,-221843.947656453,-56422419.2203255,-82389.306044206,-2288083.12385809,-2276381.56502508,-138.243194669485,-1407.89779834449,-16892.9545907304,-1655.28035722673,-40998.2021665201,-29353.0320050195,-7175960.4907129,-18382.7069122344,-306352.37635579,-467276.549898088,-160.071067512035,-158.25207810849,9253.19909583777,2373.78117162734,-41502.0622313023,4672.98377770931,6194499.29217808,14752.0040627569,290145.180770196,338754.034601152,23.6468622460961,349.245965480804,5313.26804775745,-451.109372079372,26491.7616732419,1684.38418768346,88628.4396983683,-7956.25965110958,20108.9278561994,26419.0020971,-29.1038304567337,-214.640749618411,-627.55134422332,1780.79062607139,-600.266503170133,-3021.34139928967,56383.2145417109,203.726813197136,-2053.63903660327,-13118.5515783727,-143.700162880123,-167.347025126219,252.839527092874,-1.81898940354586,-70.9405867382884,-60.0266503170133,-100.044417195022,-47.2937244921923,0,198.269844986498,-78.2165443524718,-349.245965480804,509.31703299284,50.931703299284,211.002770811319,449.290382675827,338.332029059529,376.530806533992,138.243194669485,70.9405867382884,-132.786226458848,5.45696821063757,45.4747350886464,120.053300634027,189.174897968769,-7.27595761418343,538.420863449574,236.468622460961,283.762346953154,420.186552219093,181.898940354586,25.465851649642,100.044417195022
"beta_taEc_1",-1768.05770024657,-10510.120773688,-82398.4009912238,-391.082721762359,-2188644.43013445,-311065.377900377,-85240084.445104,-400435.965275392,-2276381.56502508,-14763998.4788839,-170.985003933311,-1655.28035722673,-18375.4309546202,-3768.94604414701,-60239.4720772281,-44623.448047787,-12951448.2978266,-40985.4692406952,-467121.935798787,-1009746.48375995,74.5785655453801,2377.41915043443,14786.5648614243,-3459.71784554422,360310.878022574,65912.9000268877,10155110.4307873,-41523.8901041448,339847.247232683,-305923.094856553,121.872290037572,-449.290382675827,-7965.35459812731,1800.7995095104,-23570.4646911472,15028.4904520959,3319017.19619054,26495.3996520489,26297.1298070624,301613.908959553,-529.325916431844,1780.79062607139,205.545802600682,4947.65117764473,-435104.084317572,55642.8858544677,2800399.67037737,-587.533577345312,-13087.6287585124,484033.080283552,-1116.85949377716,-325.599103234708,-1335.13822220266,5.45696821063757,-994.987203739583,-176.441972143948,-70.9405867382884,-196.450855582952,0,185.536919161677,-167.347025126219,-614.818418398499,-840.373104438186,-640.284270048141,-698.491930961609,-809.450284577906,54.5696821063757,600.266503170133,-529.325916431844,1900.84392670542,1275.11157188565,371.073838323355,1613.44360094517,838.55411503464,742.147676646709,796.717358753085,3177.77448799461,2393.79005506635,1136.86837721616,2757.58793577552,1256.92167785019,758.518581278622,824.002199806273
