"","PH_1","theta_w_1","sigma_1","PH_female_1","PH_mayor45_1","PH_underage_in_household_1","PH_only_worker_1","theta_w_female_1","theta_w_mayor45_1","theta_w_underage_in_household_1","theta_w_only_worker_1","PH_2","theta_w_2","sigma_2","asc_2","x_female_2","x_mayor45_2","x_underage_in_household_2","x_only_worker_2","x_university_2","x_metropolitana_2","PH_female_2","PH_mayor45_2","PH_underage_in_household_2","PH_only_worker_2","theta_w_female_2","theta_w_mayor45_2","theta_w_underage_in_household_2","theta_w_only_worker_2"
"PH_1",-68641.3841322064,-16285.4121299461,-3.63797880709171,-16205.37659619,-12876.6259877011,-10604.7082226723,-56130.375014618,-5529.7277867794,-5533.3657655865,-5054.97155245394,-9731.59330897033,-1184.16210170835,-569.343683309853,1.81898940354586,112.777343019843,49.1127138957381,-3.63797880709171,87.3114913702011,0,0,34.5607986673713,-585.714587941766,0,-856.744009070098,0,-283.762346953154,0,-403.81564758718,0
"theta_w_1",-16285.4121299461,-6306.43626209348,-1.81898940354586,-5527.90879737586,-5531.54677618295,-5051.33357364684,-9729.77431956679,-2492.01548285782,-2746.67399935424,-2617.52575170249,-2675.73341261595,-611.180439591408,-300.133251585066,3.63797880709171,92.7684595808387,43.6557456851006,-1.81898940354586,67.3026079311967,0,0,29.1038304567337,-305.590219795704,0,-436.557456851006,0,-150.976120494306,1.81898940354586,-212.821760214865,0
"sigma_1",-3.63797880709171,-1.81898940354586,-69.1215973347425,1.81898940354586,3.63797880709171,-1.81898940354586,1.81898940354586,1.81898940354586,3.63797880709171,-1.81898940354586,0,23.6468622460961,14.5519152283669,1.81898940354586,10.9139364212751,7.27595761418343,1.81898940354586,9.09494701772928,0,0,1.81898940354586,9.09494701772928,0,23.6468622460961,0,5.45696821063757,1.81898940354586,14.5519152283669,0
"PH_female_1",-16205.37659619,-5527.90879737586,1.81898940354586,-16203.5576067865,-5036.78165841848,-4680.25973532349,-10621.0791273043,-5527.90879737586,-2170.05435843021,-2259.18483920395,-2657.5435185805,-583.89559853822,-281.943357549608,1.81898940354586,50.931703299284,50.931703299284,0,41.8367562815547,0,0,10.9139364212751,-583.89559853822,0,-482.032191939652,0,-281.943357549608,0,-229.192664846778,0
"PH_mayor45_1",-12876.6259877011,-5531.54677618295,3.63797880709171,-5036.78165841848,-12876.6259877011,-3066.81613437831,-7717.97203924507,-2171.87334783375,-5533.3657655865,-1620.71955855936,-2732.12208412588,0,0,1.81898940354586,-3.63797880709171,0,-3.63797880709171,0,0,0,-3.63797880709171,-1.81898940354586,0,0,0,-1.81898940354586,0,0,0
"PH_underage_in_household_1",-10604.7082226723,-5051.33357364684,-1.81898940354586,-4680.25973532349,-3066.81613437831,-10602.8892332688,-4885.80553792417,-2259.18483920395,-1620.71955855936,-5053.15256305039,-1979.06047105789,-854.925019666553,-403.81564758718,5.45696821063757,89.130480773747,41.8367562815547,0,89.130480773747,0,0,29.1038304567337,-482.032191939652,0,-854.925019666553,0,-231.011654250324,0,-401.996658183634,0
"PH_only_worker_1",-56130.375014618,-9729.77431956679,1.81898940354586,-10621.0791273043,-7717.97203924507,-4885.80553792417,-56128.5560252145,-2657.5435185805,-2732.12208412588,-1979.06047105789,-9731.59330897033,0,0,1.81898940354586,0,1.81898940354586,0,0,0,0,0,0,0,1.81898940354586,0,0,0,1.81898940354586,0
"theta_w_female_1",-5529.7277867794,-2492.01548285782,1.81898940354586,-5527.90879737586,-2171.87334783375,-2259.18483920395,-2657.5435185805,-2492.01548285782,-1116.85949377716,-1175.06715469062,-909.494701772928,-305.590219795704,-150.976120494306,1.81898940354586,43.6557456851006,43.6557456851006,0,32.7418092638254,0,0,10.9139364212751,-307.40920919925,-1.81898940354586,-251.020537689328,0,-152.795109897852,0,-123.691279441118,0
"theta_w_mayor45_1",-5533.3657655865,-2746.67399935424,3.63797880709171,-2170.05435843021,-5533.3657655865,-1620.71955855936,-2732.12208412588,-1116.85949377716,-2748.49298875779,-909.494701772928,-1116.85949377716,0,0,1.81898940354586,-3.63797880709171,0,-1.81898940354586,0,0,0,-3.63797880709171,-1.81898940354586,0,0,0,-1.81898940354586,0,0,0
"theta_w_underage_in_household_1",-5054.97155245394,-2617.52575170249,-1.81898940354586,-2259.18483920395,-1620.71955855936,-5053.15256305039,-1979.06047105789,-1175.06715469062,-909.494701772928,-2617.52575170249,-884.028850123286,-438.376446254551,-214.640749618411,3.63797880709171,65.4836185276508,32.7418092638254,0,65.4836185276508,0,0,20.0088834390044,-252.839527092874,-1.81898940354586,-436.557456851006,0,-123.691279441118,0,-212.821760214865,0
