"","PH_1","theta_w_1","sigma_1","PH_2","theta_w_2","sigma_2","asc_2","x_female_2","x_mayor45_2","x_underage_in_household_2","x_only_worker_2","x_university_2","x_metropolitana_2","PH_3","theta_w_3","sigma_3","asc_3","x_female_3","x_mayor45_3","x_underage_in_household_3","x_only_worker_3","x_university_3","x_metropolitana_3","PH_4","theta_w_4","sigma_4","asc_4","x_female_4","x_mayor45_4","x_underage_in_household_4","x_only_worker_4","x_university_4","x_metropolitana_4"
"PH_1",-96799.3400990963,-10479.1979538277,58.2076609134674,-1804.43748831749,-818.545231595635,-40.0177668780088,-714.862835593522,-272.848410531878,-352.883944287896,-412.910594604909,-562.06772569567,-136.424205265939,-167.347025126219,-1589.79673869908,-716.681824997067,-38.198777474463,-161.890056915581,-67.3026079311967,-67.3026079311967,-103.682396002114,-43.6557456851006,-7.27595761418343,-56.3886715099216,-418.367562815547,-100.044417195022,12.732925824821,10.9139364212751,1.81898940354586,-3.63797880709171,-1.81898940354586,0,-3.63797880709171,-3.63797880709171
"theta_w_1",-10479.1979538277,-2077.28589884937,3.63797880709171,-756.699591875076,-369.254848919809,-1.81898940354586,-40.0177668780088,-7.27595761418343,-25.465851649642,-38.198777474463,-36.3797880709171,-10.9139364212751,-10.9139364212751,-502.041075378656,-267.391442321241,-9.09494701772928,-47.2937244921923,-20.0088834390044,-20.0088834390044,-30.9228198602796,-7.27595761418343,-1.81898940354586,-18.1898940354586,-125.510268844664,-32.7418092638254,3.63797880709171,12.732925824821,7.27595761418343,1.81898940354586,0,0,1.81898940354586,1.81898940354586
"sigma_1",58.2076609134674,3.63797880709171,-14.5519152283669,-9.09494701772928,3.63797880709171,0,10.9139364212751,5.45696821063757,5.45696821063757,5.45696821063757,5.45696821063757,3.63797880709171,1.81898940354586,-29.1038304567337,-12.732925824821,-1.81898940354586,0,0,0,0,0,0,0,-3.63797880709171,0,0,0,0,0,-1.81898940354586,0,0,0
"PH_2",-1804.43748831749,-756.699591875076,-9.09494701772928,-17618.7313627452,-8974.89371709526,143.700162880123,178.260961547494,65.4836185276508,138.243194669485,276.48638933897,-183.717929758132,-61.8456397205591,181.898940354586,-2120.94164453447,-982.254277914762,100.044417195022,-594.809534959495,-269.210431724787,-254.65851649642,-467.480276711285,-18.1898940354586,-36.3797880709171,-216.459739021957,514.774001203477,-16.3709046319127,3.63797880709171,283.762346953154,160.071067512035,70.9405867382884,89.130480773747,0,72.7595761418343,43.6557456851006
"theta_w_2",-818.545231595635,-369.254848919809,3.63797880709171,-8974.89371709526,-4800.31303595752,94.5874489843845,129.148247651756,47.2937244921923,85.4925019666553,161.890056915581,-74.5785655453801,-14.5519152283669,98.2254277914762,-874.933903105557,-416.548573412001,47.2937244921923,-296.495272777975,-134.605215862393,-129.148247651756,-232.83064365387,-7.27595761418343,-20.0088834390044,-109.139364212751,101.863406598568,-76.397554948926,0,141.881173476577,81.8545231595635,34.5607986673713,41.8367562815547,0,30.9228198602796,21.8278728425503
"sigma_2",-40.0177668780088,-1.81898940354586,0,143.700162880123,94.5874489843845,-49.1127138957381,56.3886715099216,29.1038304567337,21.8278728425503,34.5607986673713,9.09494701772928,9.09494701772928,14.5519152283669,-94.5874489843845,-50.931703299284,0,-21.8278728425503,-12.732925824821,-9.09494701772928,-16.3709046319127,0,0,-5.45696821063757,127.32925824821,43.6557456851006,0,-9.09494701772928,-3.63797880709171,-3.63797880709171,-3.63797880709171,0,-3.63797880709171,0
"asc_2",-714.862835593522,-40.0177668780088,10.9139364212751,178.260961547494,129.148247651756,56.3886715099216,-245.563569478691,-114.596332423389,-94.5874489843845,-145.519152283669,-65.4836185276508,-30.9228198602796,-72.7595761418343,809.450284577906,474.756234325469,3.63797880709171,92.7684595808387,40.0177668780088,40.0177668780088,80.0355337560177,0,3.63797880709171,36.3797880709171,-352.883944287896,-85.4925019666553,-1.81898940354586,25.465851649642,12.732925824821,1.81898940354586,1.81898940354586,0,7.27595761418343,0
"x_female_2",-272.848410531878,-7.27595761418343,5.45696821063757,65.4836185276508,47.2937244921923,29.1038304567337,-114.596332423389,-114.596332423389,-45.4747350886464,-76.397554948926,-25.465851649642,-16.3709046319127,-34.5607986673713,229.192664846778,143.700162880123,1.81898940354586,40.0177668780088,40.0177668780088,20.0088834390044,38.198777474463,0,1.81898940354586,16.3709046319127,-187.355908565223,-45.4747350886464,-1.81898940354586,10.9139364212751,12.732925824821,0,0,0,3.63797880709171,0
"x_mayor45_2",-352.883944287896,-25.465851649642,5.45696821063757,138.243194669485,85.4925019666553,21.8278728425503,-94.5874489843845,-45.4747350886464,-94.5874489843845,-47.2937244921923,-27.2848410531878,-7.27595761418343,-27.2848410531878,403.81564758718,236.468622460961,1.81898940354586,41.8367562815547,20.0088834390044,41.8367562815547,30.9228198602796,1.81898940354586,1.81898940354586,14.5519152283669,-69.1215973347425,-10.9139364212751,0,1.81898940354586,1.81898940354586,1.81898940354586,0,0,0,0
"x_underage_in_household_2",-412.910594604909,-38.198777474463,5.45696821063757,276.48638933897,161.890056915581,34.5607986673713,-145.519152283669,-76.397554948926,-47.2937244921923,-145.519152283669,-45.4747350886464,-16.3709046319127,-41.8367562815547,676.664058119059,400.177668780088,1.81898940354586,80.0355337560177,38.198777474463,29.1038304567337,80.0355337560177,0,3.63797880709171,29.1038304567337,-63.664629124105,-14.5519152283669,0,1.81898940354586,1.81898940354586,-1.81898940354586,1.81898940354586,0,1.81898940354586,0
