"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"PH_1",0.249900152562467,0.0222694209785288,11.2216726606143,0.0413975218616204,6.03659691026455
"theta_w_1",0.305034104310366,0.0479684109723691,6.35906210205864,0.0921929226032045,3.30864990171993
"theta_1_1",0.267171050187945,0.0031934604360691,83.6619258439324,0.00626645860598129,42.6350937566127
"theta_2_1",0,NA,NA,NA,NA
"theta_3_1",0.545860776699964,0.00338741755021069,161.143634821758,0.0054651193905288,99.8808512117696
"sigma_1_1",11.446599115137,0.186994839868359,61.2134491154686,0.400052939304793,28.6127109452783
"sigma_2_1",7.06766294484496,0.172768833550906,40.9082054881298,0.464825817072338,15.2049707336825
"sigma_3_1",0,NA,NA,NA,NA
"sigma_4_1",10.6150301087383,0.143739453274471,73.8491059129662,0.199076798505002,53.3212819798865
"rho_12_1",-0.398073829205325,0.017830244037128,-22.3257644918608,0.027776214179148,-14.3314645630925
"rho_13_1",0,NA,NA,NA,NA
"rho_14_1",-0.714317169444408,0.0115637352535923,-61.7721829304683,0.0227517971683898,-31.3960767212203
"rho_23_1",0,NA,NA,NA,NA
"rho_24_1",-0.258743425648017,0.0198278762789609,-13.0494775137651,0.0298152659543797,-8.67821960883797
"rho_34_1",0,NA,NA,NA,NA
"asc_1",0,NA,NA,NA,NA
"x_female_1",0,NA,NA,NA,NA
"x_mayor45_1",0,NA,NA,NA,NA
"x_underage_in_household_1",0,NA,NA,NA,NA
"x_only_worker_1",0,NA,NA,NA,NA
"x_university_1",0,NA,NA,NA,NA
"x_metropolitana_1",0,NA,NA,NA,NA
"PH_2",0.231505327975288,0.0313633663505784,7.38139284500047,0.0599064583023105,3.86444691500581
"theta_w_2",0.136471487947235,0.0699050125497326,1.95224180598129,0.140782577535801,0.969377676811817
"theta_1_2",0.300839451649743,0.00552724381911053,54.4284749316805,0.0111980340860121,26.8653809533884
"theta_2_2",0.103225090241637,0.00274759553669517,37.5692451319806,0.00408517721193876,25.26820377338
"theta_3_2",0.446263412410715,0.00515478888816744,86.5725875670854,0.00825795621468412,54.0404188166048
"sigma_1_2",11.5756903407061,0.300475336101681,38.5245940345297,0.644616573571702,17.9574817267997
"sigma_2_2",8.76912057883423,0.299463420335231,29.2827770717965,0.771795198780454,11.3619786605186
"sigma_3_2",4.72292509386032,0.0953993905385762,49.5068686204083,0.275635467688451,17.1346783977692
"sigma_4_2",9.7549138977056,0.272083839878446,35.8526030140696,0.510847262365836,19.0955587243996
"rho_12_2",-0.42149202467386,0.025655713883208,-16.4287778774198,0.0284315656496569,-14.8247912150749
"rho_13_2",-0.267273275571975,0.0317367803422503,-8.42156238565136,0.053519941182229,-4.99390077171313
"rho_14_2",-0.577777550259118,0.0223796593474205,-25.8170842232106,0.0303440876975772,-19.0408608101027
"rho_23_2",-0.157631450458999,0.0355638980625102,-4.43234456982,0.0677890924209503,-2.32532174173618
"rho_24_2",-0.313888506049881,0.0306195618854683,-10.2512409297028,0.0433233573638009,-7.24524887150488
"rho_34_2",-0.0329798248633118,0.0315145853785757,-1.04649401117402,0.0434227801028265,-0.759505144194234
"asc_2",-0.0366525457905613,0.100971513517603,-0.362998874768491,0.111064520583886,-0.330011290715274
"x_female_2",-0.885214109900669,0.0927477215101254,-9.54432190341225,0.120614860859056,-7.33917946425428
"x_mayor45_2",-1.1792993075492,0.0988649709547294,-11.9283836950623,0.115217053089914,-10.2354579979483
"x_underage_in_household_2",-0.468499510818944,0.0904636141575367,-5.17887235859361,0.103805350652649,-4.51325011546494
"x_only_worker_2",-0.000560913819221991,0.0927935911377034,-0.00604474740491085,0.118146215003956,-0.00474762411308064
"x_university_2",0.759206016796622,0.104975149232129,7.23224517754964,0.111868674170651,6.78658277149582
"x_metropolitana_2",0.285771869496999,0.092018381854045,3.10559546624365,0.104907763888885,2.72402974673715
