"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"PH_1",0.249890015560246,0.0223995629313802,11.1560219422928,0.0426757995691208,5.85554384647218
"theta_w_1",0.305061786538192,0.048212949730659,6.32738275177966,0.0941662811259114,3.23960745705024
"theta_1_1",0.26717116881306,0.00304265785007627,87.8084825759698,0.00467536396093848,57.1444642695648
"theta_2_1",0,NA,NA,NA,NA
"theta_3_1",0.545860273428928,0.00332175478875735,164.328888838039,0.00457800920560413,119.235293970296
"sigma_1_1",11.446605393721,0.190433221392947,60.1082379954161,0.399390155566969,28.660209156812
"sigma_2_1",7.06766356524301,0.134031180489522,52.7314878480497,0.246758932199715,28.6419766135265
"sigma_3_1",0,NA,NA,NA,NA
"sigma_4_1",10.615026982929,0.145163894657115,73.1244295146684,0.209299918861851,50.7168232106933
"rho_12_1",-0.398074495197551,0.0168776588513677,-23.5858834867546,0.0212931920037028,-18.6949187857005
"rho_13_1",0,NA,NA,NA,NA
"rho_14_1",-0.714315420015111,0.0105339744381876,-67.8106278125741,0.0164620781803652,-43.3915701400991
"rho_23_1",0,NA,NA,NA,NA
"rho_24_1",-0.258743790110992,0.0201208323831672,-12.8594973201732,0.0309071666922456,-8.37164379017338
"rho_34_1",0,NA,NA,NA,NA
"asc_1",0,NA,NA,NA,NA
"x_female_1",0,NA,NA,NA,NA
"x_mayor45_1",0,NA,NA,NA,NA
"x_underage_in_household_1",0,NA,NA,NA,NA
"x_only_worker_1",0,NA,NA,NA,NA
"x_university_1",0,NA,NA,NA,NA
"x_metropolitana_1",0,NA,NA,NA,NA
"PH_2",0.231530343885992,0.0321988933431002,7.1906304797151,0.0646281656628126,3.58249907778545
"theta_w_2",0.136406625932916,0.0714578443363114,1.90891045202718,0.147958564525042,0.921924502111736
"theta_1_2",0.300838883052577,0.00525060371720717,57.296055702447,0.00836427935705863,35.9671013138387
"theta_2_2",0.103226063159904,0.00269634225608018,38.2837389901567,0.00343597081274125,30.0427648503653
"theta_3_2",0.44626348374213,0.00511372867741645,87.2677280890841,0.00756002723803454,59.0293486638482
"sigma_1_2",11.5757264280023,0.292544836829459,39.5690676118492,0.570425121039133,20.2931568071809
"sigma_2_2",8.76911072238251,0.197648436338081,44.3672152679356,0.303939174399934,28.8515316911528
"sigma_3_2",4.7230409588818,0.0952936727072904,49.5630069101164,0.274040231356142,17.2348451740421
"sigma_4_2",9.75502021857282,0.25474058993087,38.2939374570031,0.3606614260299,27.0475840068467
"rho_12_2",-0.421483689777566,0.026745477620229,-15.7590638597823,0.0302523767821677,-13.9322504414268
"rho_13_2",-0.267262953778109,0.0290834629666815,-9.18951618946786,0.0335199019624895,-7.97326179763861
"rho_14_2",-0.577783751481961,0.023280858396858,-24.8179745623099,0.0351503750688397,-16.4374846740727
"rho_23_2",-0.157631398742926,0.0332867251365023,-4.73556344448156,0.0495910725249536,-3.17862451278116
"rho_24_2",-0.313889518184813,0.0301348852214709,-10.4161511111769,0.0434587857936157,-7.22269415614748
"rho_34_2",-0.0329950470887323,0.0316856801695322,-1.04132361723638,0.0405354010291568,-0.813981020318493
"asc_2",-0.0366435521782546,0.0984160557549295,-0.372333070017583,0.105090083625911,-0.348687058892204
"x_female_2",-0.885202365378238,0.0886036448571183,-9.99058635573864,0.0960919407294172,-9.21203545956947
"x_mayor45_2",-1.17931855143336,0.0971021974946019,-12.1451273180396,0.11317972737473,-10.419874466818
"x_underage_in_household_2",-0.468501431347218,0.0949218303012436,-4.93565526349822,0.121351222249641,-3.86070632550718
"x_only_worker_2",-0.000598172164533651,0.0908249989558339,-0.00658598592249396,0.106839625212849,-0.00559878568781908
"x_university_2",0.759172660135715,0.109133636909222,6.95635810952767,0.116460155807992,6.51873299386069
"x_metropolitana_2",0.285763749025241,0.0896838744828729,3.18634482144072,0.0963592817757243,2.9656068804078
